ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Aka-1_all-1-1,Aka-1_all-1,vyeu,1-2637,false,expert,Peiros2004,,,
Miji-1_all-1-1,Miji-1_all-1,veʔ,1-2637,false,expert,Peiros2004,,,
Bodo-1_all-1-1,Bodo-1_all-1,boʔj,1-2693,false,expert,Peiros2004,,,
Dimasa-1_all-1-1,Dimasa-1_all-1,kurup_,1--1,false,expert,Peiros2004,,,
Garo-1_all-1-1,Garo-1_all-1,pilak,1-1699,false,expert,Peiros2004,,,
Rabha-1_all-1-1,Rabha-1_all-1,dɨmdak,1-862,false,expert,Peiros2004,,,
Burmese-1_all-1-1,Burmese-1_all-1,alumː,1-1928,false,expert,Peiros2004,,,
LangsuMaru-1_all-1-1,LangsuMaru-1_all-1,lɔ̲̃⁵⁵,1-1928,false,expert,Peiros2004,,,
Zhaba-1_all-1-1,Zhaba-1_all-1,tʃa̲t⁵⁵,1-1561,false,expert,Peiros2004,,,
Achang-1_all-1-1,Achang-1_all-1,kuai⁵⁵,1-2246,false,expert,Peiros2004,,,
XiaxeTibetan-1_all-1-1,XiaxeTibetan-1_all-1,ha_no,1-1469,false,expert,Peiros2004,,,
Bola-1_all-1-1,Bola-1_all-1,a³¹_la̲p⁵⁵,1-1772,false,expert,Peiros2004,,,
Leqi-1_all-1-1,Leqi-1_all-1,pan³¹_ʃɔ̲ʔ⁵⁵,1-1561,false,expert,Peiros2004,,,
LijiangNaxi-1_all-1-1,LijiangNaxi-1_all-1,ndɨ³³_χə³³_mb,1-862,false,expert,Peiros2004,,,
NinglangNaxi-1_all-1-1,NinglangNaxi-1_all-1,dɨ³³_ta³³,1-862,false,expert,Peiros2004,,,
Jinuo-1_all-1-1,Jinuo-1_all-1,tʃə³³,1-1561,false,expert,Peiros2004,,,
Chepang-1_all-1-1,Chepang-1_all-1,səbay,1--1,false,expert,Peiros2004,,,
Lushai-1_all-1-1,Lushai-1_all-1,an-za-in,1-1453,false,expert,Peiros2004,,,
Haka-1_all-1-1,Haka-1_all-1,dihlak,1-1699,false,expert,Peiros2004,,,
Hmar-1_all-1-1,Hmar-1_all-1,po_po,1-256,false,expert,Peiros2004,,,
Gangte-1_all-1-1,Gangte-1_all-1,cheŋ,1-1199,false,expert,Peiros2004,,,
Tiddim-1_all-1-1,Tiddim-1_all-1,teŋ²,1-1199,false,expert,Peiros2004,,,
Gurung-1_all-1-1,Gurung-1_all-1,taːn¹,1-862,false,expert,Peiros2004,,,
Tamang-1_all-1-1,Tamang-1_all-1,cam³ma,1--1,false,expert,Peiros2004,,,
Thakali-1_all-1-1,Thakali-1_all-1,yom⁴,1-1449,false,expert,Peiros2004,,,
Jiarug-1_all-1-1,Jiarug-1_all-1,_tʃet,1--1,false,expert,Peiros2004,,,
Jingpo-1_all-1-1,Jingpo-1_all-1,joŋ³¹,1-1449,false,expert,Peiros2004,,,
PaO-1_all-1-1,PaO-1_all-1,ka⁴⁴_loʔ⁵⁵_lo,1-1699,false,expert,Peiros2004,,,
Geba-1_all-1-1,Geba-1_all-1,lu²²_sa⁴⁴_sɛ̃,1-1699,false,expert,Peiros2004,,,
KayanPekon-1_all-1-1,KayanPekon-1_all-1,lọ́,1-1699,false,expert,Peiros2004,,,
Yeinbaw-1_all-1-1,Yeinbaw-1_all-1,pwại⁴⁴_trv²²,1-320,false,expert,Peiros2004,,,
Padaung-1_all-1-1,Padaung-1_all-1,lɔ̣¹¹-lvɨ̃⁴⁴,1-1699,false,expert,Peiros2004,,,
Geker-1_all-1-1,Geker-1_all-1,lɔ⁵⁵_nɨʔ⁵³,1-1699,false,expert,Peiros2004,,,
Manu-1_all-1-1,Manu-1_all-1,lụ⁴⁴_bɔ¹¹,1-1699,false,expert,Peiros2004,,,
Wkayah-1_all-1-1,Wkayah-1_all-1,lɔ̣³³_pli¹¹,1-1699,false,expert,Peiros2004,,,
Yintale-1_all-1-1,Yintale-1_all-1,lu⁵⁵_lu¹¹,1-1699,false,expert,Peiros2004,,,
Sgaw-1_all-1-1,Sgaw-1_all-1,khɛ⁴⁴_ləʔ⁵³,1-1699,false,expert,Peiros2004,,,
Kelun-1_all-1-1,Kelun-1_all-1,khɛ̲⁵⁵_lö̲³¹,1-1699,false,expert,Peiros2004,,,
Palaichi-1_all-1-1,Palaichi-1_all-1,sa⁴⁴_ləla⁴⁴,1-1699,false,expert,Peiros2004,,,
Kaike-1_all-1-1,Kaike-1_all-1,solo,1-1785,false,expert,Peiros2004,,,
Khoirao-1_all-1-1,Khoirao-1_all-1,khaŋ,1-2539,false,expert,Peiros2004,,,
Sunwar-1_all-1-1,Sunwar-1_all-1,nelleB,1-1785,false,expert,Peiros2004,,,
Kulung-1_all-1-1,Kulung-1_all-1,khɔːlɔ,1-2246,false,expert,Peiros2004,,,
Khaling-1_all-1-1,Khaling-1_all-1,kholeŋ,1-2246,false,expert,Peiros2004,,,
Dumi-1_all-1-1,Dumi-1_all-1,khələ,1-2246,false,expert,Peiros2004,,,
Limbu-1_all-1-1,Limbu-1_all-1,kɛrɛk,1-2246,false,expert,Peiros2004,,,
Yamphu-1_all-1-1,Yamphu-1_all-1,äŋ,1-2539,false,expert,Peiros2004,,,
KonyakD-1_all-1-1,KonyakD-1_all-1,əsə́y,1-1561,false,expert,Peiros2004,,,
Konyak-1_all-1-1,Konyak-1_all-1,ceī,1-1561,false,expert,Peiros2004,,,
Phom-1_all-1-1,Phom-1_all-1,paɨ,1-256,false,expert,Peiros2004,,,
Chang-1_all-1-1,Chang-1_all-1,pando,1-256,false,expert,Peiros2004,,,
Yogli-1_all-1-1,Yogli-1_all-1,taŋrauŋ,1-667,false,expert,Peiros2004,,,
Nocte-1_all-1-1,Nocte-1_all-1,hueri,1-738,false,expert,Peiros2004,,,
Wancho-1_all-1-1,Wancho-1_all-1,paŋve,1-2637,false,expert,Peiros2004,,,
Lepcha-1_all-1-1,Lepcha-1_all-1,gŭn,1-2246,false,expert,Peiros2004,,,
Magar-1_all-1-1,Magar-1_all-1,pəṭṭə,1-862,false,expert,Peiros2004,,,
Manipuri-1_all-1-1,Manipuri-1_all-1,pumnamak,1-318,false,expert,Peiros2004,,,
Mikir-1_all-1-1,Mikir-1_all-1,kadokave,1-2637,false,expert,Peiros2004,,,
Motuo-M-1_all-1-1,Motuo-M-1_all-1,tham_ćeʔ,1--1,false,expert,Peiros2004,,,
Rengma-1_all-1-1,Rengma-1_all-1,aphu,1-318,false,expert,Peiros2004,,,
