ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Number,Database,Abbreviation,Note
Aka,Aka,akha1245,Akha,ahk,Eurasia,21.2309,100.964,Sino-Tibetan,1,aka,aka,
Miji,Miji,miji1239,Miji,,,,,Sino-Tibetan,2,aka,mji,
Bodo,Bodo,bodo1269,Bodo-Mech,brx,Eurasia,26.1,92.0,Sino-Tibetan,3,bodo,bod,
Dimasa,Dimasa,dima1251,Dimasa,dis,Eurasia,25.4198,93.1806,Sino-Tibetan,4,bodo,dim,
Garo,Garo,garo1247,Garo,grt,Eurasia,25.2954,90.462,Sino-Tibetan,5,bodo,gar,
Rabha,Rabha,rabh1238,Rabha,rah,Eurasia,25.8248,91.1689,Sino-Tibetan,6,bodo,rab,
Burmese,Burmese,nucl1310,Burmese,mya,Eurasia,20.7926,93.9665,Sino-Tibetan,7,bur,wrb,
LangsuMaru,Langsu-Maru,maru1249,Maru,mhx,Eurasia,24.942535,99.8338,Sino-Tibetan,8,bur,lan,
Achang,Achang,acha1249,Longchuan Achang,acn,Eurasia,24.3479,97.7438,Sino-Tibetan,10,bur,acq,
Bola,Bola,pela1242,Pela,bxd,Eurasia,24.2142,97.9183,Sino-Tibetan,12,bur,bol,
Leqi,Leqi,lash1243,Lashi,lsi,Eurasia,26.0992,98.5481,Sino-Tibetan,13,bur,leq,
LijiangNaxi,Lijiang-Naxi,lich1241,Lichiang,,Eurasia,,,Sino-Tibetan,14,bur,lij,"Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245"
NinglangNaxi,Ninglang-Naxi,naxi1245,Naxi,nxq,Eurasia,27.5,100.0,Sino-Tibetan,15,bur,nin,"belong to western Naxi, no glottolog entry so I use naxi1245."
Jinuo,Jinuo,youl1235,Youle Jinuo,jiu,Eurasia,22.0473,101.057,Sino-Tibetan,16,bur,jin,(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Chepang,Chepang,chep1245,Chepang,cdm,Eurasia,27.7206,84.9017,Sino-Tibetan,17,che,chp,
Lushai,Lushai,lush1249,Mizo,lus,Eurasia,22.6138,92.6247,Sino-Tibetan,18,chin,lsh,
Haka,Haka,haka1240,Haka Chin,cnh,Eurasia,22.8735,92.8208,Sino-Tibetan,19,chin,hkq,
Hmar,Hmar,hmar1241,Hmar,hmr,Eurasia,24.7534,93.5497,Sino-Tibetan,20,chin,hma,
Gangte,Gangte,gang1266,Gangte,gnb,Eurasia,24.5113,94.1681,Sino-Tibetan,21,chin,gan,
Tiddim,Tiddim,,,,,,,,22,chin,tid,
