ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Aka-1_all-1,,Aka,1_all,vyeu,vyeu,v y e u,,Peiros2004,,,^ v y e u $,default
Miji-1_all-1,,Miji,1_all,veʔ,veʔ,v e ʔ,,Peiros2004,,,^ v e ʔ $,default
Bodo-1_all-1,,Bodo,1_all,boʔj,boʔj,b o ʔ j,,Peiros2004,,,^ b o ʔ j $,default
Dimasa-1_all-1,,Dimasa,1_all,kurup (Tib.?),kurup_,k u r u p,,Peiros2004,,,^ k u r u p _$,default
Garo-1_all-1,,Garo,1_all,pilak,pilak,p i l a k,,Peiros2004,,,^ p i l a k $,default
Rabha-1_all-1,,Rabha,1_all,dɨmdak,dɨmdak,d ɨ m d a k,,Peiros2004,,,^ d ɨ m d a k $,default
Burmese-1_all-1,,Burmese,1_all,a.lum:,alumː,a l u mː,,Peiros2004,,,^ a l u mː $,default
LangsuMaru-1_all-1,,LangsuMaru,1_all,lɔ̲̃.55,lɔ̲̃⁵⁵,l ɔ̰ <<̃>> ⁵⁵,,Peiros2004,,,^ l ɔ̲ <̃> ⁵⁵ $,default
Zhaba-1_all-1,,Zhaba,1_all,tʃa̲t.55,tʃa̲t⁵⁵,tʃ a̰ t ⁵⁵,,Peiros2004,,,^ tʃ a̲ t ⁵⁵ $,default
Achang-1_all-1,,Achang,1_all,kuai.55,kuai⁵⁵,k u a i ⁵⁵,,Peiros2004,,,^ k u a i ⁵⁵ $,default
XiaxeTibetan-1_all-1,,XiaxeTibetan,1_all,ha no,ha_no,h a _ n o,,Peiros2004,,,^ h a _ n o $,default
Bola-1_all-1,,Bola,1_all,a.31 la̲p.55,a³¹_la̲p⁵⁵,a ³¹ _ l a̰ p ⁵⁵,,Peiros2004,,,^ a ³¹ _ l a̲ p ⁵⁵ $,default
Leqi-1_all-1,,Leqi,1_all,pan.31 ʃɔ̲ʔ.55,pan³¹_ʃɔ̲ʔ⁵⁵,p a n ³¹ _ ʃ ɔ̰ ʔ ⁵⁵,,Peiros2004,,,^ p a n ³¹ _ ʃ ɔ̲ ʔ ⁵⁵ $,default
LijiangNaxi-1_all-1,,LijiangNaxi,1_all,ndɨ.33 χə.33 mb,ndɨ³³_χə³³_mb,n d ɨ ³³ _ χ ə ³³ _ m b,,Peiros2004,,,^ n d ɨ ³³ _ χ ə ³³ _ m b $,default
NinglangNaxi-1_all-1,,NinglangNaxi,1_all,dɨ.33 ta.33,dɨ³³_ta³³,d ɨ ³³ _ t a ³³,,Peiros2004,,,^ d ɨ ³³ _ t a ³³ $,default
Jinuo-1_all-1,,Jinuo,1_all,tʃə.33,tʃə³³,tʃ ə ³³,,Peiros2004,,,^ tʃ ə ³³ $,default
Chepang-1_all-1,,Chepang,1_all,sə.bay NEP,səbay,s ə b a y,,Peiros2004,,,^ s ə b a y $,default
Lushai-1_all-1,,Lushai,1_all,an-za-in,an-za-in,a n + z a + i n,,Peiros2004,,,^ a n - z a - i n $,default
Haka-1_all-1,,Haka,1_all,dihlak,dihlak,d i h l a k,,Peiros2004,,,^ d i h l a k $,default
Hmar-1_all-1,,Hmar,1_all,po po,po_po,p o _ p o,,Peiros2004,,,^ p o _ p o $,default
Gangte-1_all-1,,Gangte,1_all,cheŋ,cheŋ,tsʰ e ŋ,,Peiros2004,,,^ ch e ŋ $,default
Tiddim-1_all-1,,Tiddim,1_all,teŋ.2,teŋ²,t e ŋ ²,,Peiros2004,,,^ t e ŋ ² $,default
Gurung-1_all-1,,Gurung,1_all,ta:n.1,taːn¹,t aː n ¹,,Peiros2004,,,^ t aː n ¹ $,default
Tamang-1_all-1,,Tamang,1_all,cam.3=ma   NEP?,cam³ma,ts a m ³ m a,,Peiros2004,,,^ c a m ³ m a $,default
Thakali-1_all-1,,Thakali,1_all,yom.4,yom⁴,y o m ⁴,,Peiros2004,,,^ y o m ⁴ $,default
Jiarug-1_all-1,,Jiarug,1_all,[kə] tʃet TIB,_tʃet,tʃ e t,,Peiros2004,,,^_ tʃ e t $,default
Jingpo-1_all-1,,Jingpo,1_all,joŋ.31,joŋ³¹,j o ŋ ³¹,,Peiros2004,,,^ j o ŋ ³¹ $,default
PaO-1_all-1,,PaO,1_all,ka.44 loʔ.55 lo,ka⁴⁴_loʔ⁵⁵_lo,k a ⁴⁴ _ l o ʔ ⁵⁵ _ l o,,Peiros2004,,,^ k a ⁴⁴ _ l o ʔ ⁵⁵ _ l o $,default
Geba-1_all-1,,Geba,1_all,lu.22 sa.44 sɛ̃,lu²²_sa⁴⁴_sɛ̃,l u ²² _ s a ⁴⁴ _ s ɛ̃ ∼,,Peiros2004,,,^ l u ²² _ s a ⁴⁴ _ s ɛ̃ $,default
KayanPekon-1_all-1,,KayanPekon,1_all,lọ́,lọ́,l o̰ <<́>>,,Peiros2004,,,^ l ọ <́> $,default
