ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID
9	Yintale	YIN	kar	yint1235	all	1	lu.55 lu.11	lu⁵⁵_lu¹¹	1699	1699:all	20	0	Yintale Karen	217
10	Motuo-M	MOT	mot	dakp1242	all	1	tham ćeʔ  TIB	tham_ćeʔ__TIB	-1	-1-1	20	1	Tawang Monpa, Dakpakha?	1
11	Lhota	LHO	naga	loth1237	all	1	o:mpa	oːmpa	256	256:all	20	0	Naga Lotha	385
12	Yimchunrü	YIM	naga	yimc1240	all	1	alala	alala	1785	1785:all	20	0	Naga Yimchungru	231
13	Ao-Chungli	AOC	naga	chon1286	all	1	aʒak	aʒak	1245	1245:all	20	0	Naga Ao	96
14	Ao-Mongsen	AOM	naga	mong1332	all	1	telu, lu=cɨ	telu	1785	1785:all	20	0	Naga Ao	231
15	Nusu	NUS	nung	nusu1239	all	1	li.55	li⁵⁵	1785	1785:all	20	0	Stage 2	231
16	Serdukpen	SER	sul	sher1257	all	1	zeb=do	zebdo	1212	1212:all	20	0	Stage 2	86
17	N-Qiang	QIA	syc	nort2722	all	1	kin di	kin_di	862	862:all	20	0	Stage 2	761
18	Zhaba	ZHA	syc	zhab1238	all	1	tʃa̲t.55	tʃa̲t⁵⁵	1561	1561:all	20	0	Stage 2	167
19	Tujia	TUJ	tujia	nort2732	all	1	xu.3 ńi.1	xu³_ńi¹	1469	1469:all	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	136
20	Sherpa	SHE	tib	sher1255	all	1	tok.HR	tokHR	862	862:all	20	0	Solu-Khumbu Sherpa	761
21	Bokar	BOK	tani	bori1243	all	1	kə baŋ	kə_baŋ	320	320:all	20	0	Stage 2	500
22	Nishi	NIS	tani	nisi1238	all	1	mɨlɨ	mɨlɨ	1801	1801:all	20	0	Nisi?	236
23	Ao-Chungli	AOC	naga	chon1286	all	1	temaŋ	temaŋ	73	73:all	20	0	Naga Ao	745
24	Lijiang-Naxi	LIJ	bur	lich1241	ashes	2	ɣɨ.55	ɣɨ⁵⁵	1865	1865:ashes	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	251
25	Ninglang-Naxi	NIN	bur	naxi1245	ashes	2	luə.13	luə¹³	1865	1865:ashes	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	251
26	Jinuo	JIN	bur	youl1235	ashes	2	a.33 mə.55	a³³_mə⁵⁵	2686	2686:ashes	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	413
27	Jingpo	JNP	jnp	kach1280	ashes	2	tap.31	tap³¹	885	885:ashes	20	0	Jinghpaw	770
28	Yeinbaw	YEI	kar	yinb1236	ashes	2	pha.11	pha¹¹	2687	2687:ashes	20	0	Yinbaw Karen	414
29	Geker	GEK	kar	geko1235	ashes	2	pha.22 sha.44	pha²²_sha⁴⁴	2687	2687:ashes	20	0	Geko Karen?	414
30	Manu	MNU	kar	manu1255	ashes	2	ku.11 pha.44	ku¹¹_pha⁴⁴	2687	2687:ashes	20	0	Manumanaw Karen	414
31	W. Kayah	KYH	kar	west2409	ashes	2	kɔ.55 phɛ.11	kɔ⁵⁵_phɛ¹¹	2687	2687:ashes	20	0	Kayah Western	414
32	Yintale	YIN	kar	yint1235	ashes	2	pha.33	pha³³	2687	2687:ashes	20	0	Yintale Karen	414
33	Motuo-M	MOT	mot	dakp1242	ashes	2	thu lu	thu_lu	1022	1022:ashes	20	0	Tawang Monpa, Dakpakha?	27
34	Lhota	LHO	naga	loth1237	ashes	2	mi=po:k	mipoːk	309	309:ashes	20	0	Naga Lotha	495
35	Ao-Chungli	AOC	naga	chon1286	ashes	2	ap	ap	309	309:ashes	20	0	Naga Ao	495
36	Ao-Mongsen	AOM	naga	mong1332	ashes	2	opu	opu	309	309:ashes	20	0	Naga Ao	495
37	Nusu	NUS	nung	nusu1239	ashes	2	dʒɛr.42 nhɛr.42	dʒɛr⁴²_nhɛr⁴²	1478	1478:ashes	20	0	Stage 2	138
38	Serdukpen	SER	sul	sher1257	ashes	2	(ba=)mi	mi	2686	2686:ashes	20	0	Stage 2	413
39	N-Qiang	QIA	syc	nort2722	ashes	2	ći ći bu zụ	ći_ći_bu_zụ	2687	2687:ashes	20	0	Stage 2	414
40	Zhaba	ZHA	syc	zhab1238	ashes	2	[mji.21] mop.55	_mop⁵⁵	2687	2687:ashes	20	0	Stage 2	414
41	Tujia	TUJ	tujia	nort2732	ashes	2	pu.4 chi.3	pu⁴_chi³	309	309:ashes	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	495
42	Sherpa	SHE	tib	sher1255	ashes	2	thal=ǯum. LR, th	thalǯum_LR	1022	1022:ashes	20	0	Solu-Khumbu Sherpa	27
43	Bokar	BOK	tani	bori1243	ashes	2	mə re:	mə_reː	699	699:ashes	20	0	Stage 2	736
44	Yeinbaw	YEI	kar	yinb1236	bark	3	θɨ̃.11 phe.55	θɨ̃¹¹_phe⁵⁵	368	368:bark	20	0	Yinbaw Karen	514
45	Geker	GEK	kar	geko1235	bark	3	ṭəɨ.31 phʌiʔ.53	ṭəɨ³¹_phʌiʔ⁵³	368	368:bark	20	0	Geko Karen?	514
46	Manu	MNU	kar	manu1255	bark	3	phɔ.11	phɔ¹¹	368	368:bark	20	0	Manumanaw Karen	514
47	W. Kayah	KYH	kar	west2409	bark	3	ćɔ.11 pha.55	ćɔ¹¹_pha⁵⁵	368	368:bark	20	0	Kayah Western	514
48	Yintale	YIN	kar	yint1235	bark	3	sein.13 bei.33	sein¹³_bei³³	340	340:bark	20	0	Yintale Karen	507
49	Lhota	LHO	naga	loth1237	bark	3	(caŋ=)fu	fu	2576	2576:bark	20	0	Naga Lotha	389
50	Ao-Chungli	AOC	naga	chon1286	bark	3	(te=)kap	kap	2076	2076:bark	20	0	Naga Ao	293
51	Ao-Mongsen	AOM	naga	mong1332	bark	3	(suŋ=)kap	kap	2076	2076:bark	20	0	Naga Ao	293
52	Serdukpen	SER	sul	sher1257	bark	3	(hiŋ-)skuk	skuk	2069	2069:bark	20	0	Stage 2	290
53	Sherpa	SHE	tib	sher1255	bark	3	kowa. LF=šiŋ. LF	kowa_LFšiŋ_LF	2069	2069:bark	20	0	Solu-Khumbu Sherpa	290
54	Lijiang-Naxi	LIJ	bur	lich1241	belly	4	ndv.31 me.33	ndv³¹_me³³	2691	2691:belly	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	416
55	Ninglang-Naxi	NIN	bur	naxi1245	belly	4	bi.33 mi.33	bi³³_mi³³	2691	2691:belly	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	416
56	Jinuo	JIN	bur	youl1235	belly	4	ɣo.55 phu.44	ɣo⁵⁵_phu⁴⁴	2674	2674:belly	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	411
57	Jingpo	JNP	jnp	kach1280	belly	4	ka̲n.33	ka̲n³³	2139	2139:belly	20	0	Jinghpaw	299
58	Yeinbaw	YEI	kar	yinb1236	belly	4	phu.55	phu⁵⁵	277	277:belly	20	0	Yinbaw Karen	484
59	Geker	GEK	kar	geko1235	belly	4	phu.55	phu⁵⁵	277	277:belly	20	0	Geko Karen?	484
60	Manu	MNU	kar	manu1255	belly	4	he.44 phu.11	he⁴⁴_phu¹¹	277	277:belly	20	0	Manumanaw Karen	484
61	W. Kayah	KYH	kar	west2409	belly	4	hɔ.55	hɔ⁵⁵	2604	2604:belly	20	0	Kayah Western	399
62	Yintale	YIN	kar	yint1235	belly	4	hu.55	hu⁵⁵	2604	2604:belly	20	0	Yintale Karen	399
63	Motuo-M	MOT	mot	dakp1242	belly	4	pho laŋ	pho_laŋ	277	277:belly	20	0	Tawang Monpa, Dakpakha?	484
64	Lhota	LHO	naga	loth1237	belly	4	o:po:k	oːpoːk	226	226:belly	20	0	Naga Lotha	326
65	Yimchunrü	YIM	naga	yimc1240	belly	4	buk, puk	buk	226	226:belly	20	0	Naga Yimchungru	326
66	Ao-Chungli	AOC	naga	chon1286	belly	4	tepok	tepok	226	226:belly	20	0	Naga Ao	326
67	Ao-Mongsen	AOM	naga	mong1332	belly	4	tupuk	tupuk	226	226:belly	20	0	Naga Ao	326
68	Nusu	NUS	nung	nusu1239	belly	4	va.31 lɔ.53 ɔ.3	va³¹_lɔ⁵³_ɔ³	2604	2604:belly	20	0	Stage 2	399
69	Serdukpen	SER	sul	sher1257	belly	4	khar=bu	kharbu	2158	2158:belly	20	0	Stage 2	306
70	N-Qiang	QIA	syc	nort2722	belly	4	si kua	si_kua	4004	4004:belly	20	0	Stage 2	519
71	Zhaba	ZHA	syc	zhab1238	belly	4	vam.21	vam²¹	2674	2674:belly	20	0	Stage 2	411
72	Tujia	TUJ	tujia	nort2732	belly	4	mɨe.4 ko.4	mɨe⁴_ko⁴	2691	2691:belly	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	416
73	Sherpa	SHE	tib	sher1255	belly	4	sup.HF	supHF	1207	1207:belly	20	0	Solu-Khumbu Sherpa	80
74	Bokar	BOK	tani	bori1243	belly	4	ki:=poŋ	kiːpoŋ	2139	2139:belly	20	0	Stage 2	299
75	Nishi	NIS	tani	nisi1238	belly	4	nep	nep	4298	4298:belly	20	0	Nisi?	575
76	Manu	MNU	kar	manu1255	belly	4	he.44 phu.11	he⁴⁴_phu¹¹	2604	2604:belly	20	0	Manumanaw Karen	399
77	Bokar	BOK	tani	bori1243	belly	4	ki:=poŋ	kiːpoŋ	284	284:belly	20	0	Stage 2	487
78	Lijiang-Naxi	LIJ	bur	lich1241	big	5	ndɨ.31	ndɨ³¹	455	455:big	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	671
79	Ninglang-Naxi	NIN	bur	naxi1245	big	5	dɨ.13	dɨ¹³	455	455:big	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	671
80	Jinuo	JIN	bur	youl1235	big	5	la.44 xə.44	la⁴⁴_xə⁴⁴	2031	2031:big	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	281
81	Jingpo	JNP	jnp	kach1280	big	5	kə.31 pa.31	kə³¹_pa³¹	2	2:big	20	0	Jinghpaw	493
82	Yeinbaw	YEI	kar	yinb1236	big	5	du.11	du¹¹	455	455:big	20	0	Yinbaw Karen	671
83	Geker	GEK	kar	geko1235	big	5	đəɨʔ.53	đəɨʔ⁵³	455	455:big	20	0	Geko Karen?	671
84	Manu	MNU	kar	manu1255	big	5	do	do	455	455:big	20	0	Manumanaw Karen	671
85	W. Kayah	KYH	kar	west2409	big	5	du.11	du¹¹	455	455:big	20	0	Kayah Western	671
86	Yintale	YIN	kar	yint1235	big	5	pha.55 du.33	pha⁵⁵_du³³	455	455:big	20	0	Yintale Karen	671
87	Motuo-M	MOT	mot	dakp1242	big	5	ćhi lo	ćhi_lo	1408	1408:big	20	0	Tawang Monpa, Dakpakha?	127
88	Lhota	LHO	naga	loth1237	big	5	ca:pho	caːpho	256	256:big	20	0	Naga Lotha	386
89	Yimchunrü	YIM	naga	yimc1240	big	5	ato	ato	455	455:big	20	0	Naga Yimchungru	671
90	Ao-Chungli	AOC	naga	chon1286	big	5	tulu	tulu	455	455:big	20	0	Naga Ao	671
91	Ao-Mongsen	AOM	naga	mong1332	big	5	tɨbati	tɨbati	455	455:big	20	0	Naga Ao	671
92	Nusu	NUS	nung	nusu1239	big	5	jri.55	jri⁵⁵	2031	2031:big	20	0	Stage 2	281
93	Serdukpen	SER	sul	sher1257	big	5	adok	adok	1041	1041:big	20	0	Stage 2	31
94	N-Qiang	QIA	syc	nort2722	big	5	bar	bar	4008	4008:big	20	0	Stage 2	521
95	Zhaba	ZHA	syc	zhab1238	big	5	ko̲.21	ko̲²¹	2212	2212:big	20	0	Stage 2	317
96	Tujia	TUJ	tujia	nort2732	big	5	chi.2	chi²	1408	1408:big	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	127
97	Sherpa	SHE	tib	sher1255	big	5	gerpu. LF	gerpu_LF	2043	2043:big	20	0	Solu-Khumbu Sherpa	282
98	Bokar	BOK	tani	bori1243	big	5	tə:pə	təːpə	2	2:big	20	0	Stage 2	493
99	Nishi	NIS	tani	nisi1238	big	5	kai	kai	1453	1453:big	20	0	Nisi?	133
100	Ao-Chungli	AOC	naga	chon1286	big	5	tulu	tulu	1785	1785:big	20	0	Naga Ao	232
101	Lijiang-Naxi	LIJ	bur	lich1241	bird	6	v.55 zi.33	v⁵⁵_zi³³	2577	2577:bird	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	391
102	Ninglang-Naxi	NIN	bur	naxi1245	bird	6	v.31 ʒe.13	v³¹_ʒe¹³	2577	2577:bird	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	391
103	Jinuo	JIN	bur	youl1235	bird	6	ŋa.42 zɔ.44	ŋa⁴²_zɔ⁴⁴	2695	2695:bird	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	418
104	Jingpo	JNP	jnp	kach1280	bird	6	u̲.31	u̲³¹	2577	2577:bird	20	0	Jinghpaw	391
105	Yeinbaw	YEI	kar	yinb1236	bird	6	thu.11	thu¹¹	932	932:bird	20	0	Yinbaw Karen	778
106	Geker	GEK	kar	geko1235	bird	6	thəɨ.44	thəɨ⁴⁴	932	932:bird	20	0	Geko Karen?	778
107	Manu	MNU	kar	manu1255	bird	6	tho.44 pa.11 ti	tho⁴⁴_pa¹¹_ti	932	932:bird	20	0	Manumanaw Karen	778
108	W. Kayah	KYH	kar	west2409	bird	6	thu.11	thu¹¹	932	932:bird	20	0	Kayah Western	778
109	Yintale	YIN	kar	yint1235	bird	6	thu.55 phu.55	thu⁵⁵_phu⁵⁵	932	932:bird	20	0	Yintale Karen	778
110	Motuo-M	MOT	mot	dakp1242	bird	6	kha	kha	4235	4235:bird	20	0	Tawang Monpa, Dakpakha?	565
111	Lhota	LHO	naga	loth1237	bird	6	wo:ro	woːro	389	389:bird	20	0	Naga Lotha	517
112	Yimchunrü	YIM	naga	yimc1240	bird	6	wunu=nɨ	wununɨ	2577	2577:bird	20	0	Naga Yimchungru	391
113	Ao-Chungli	AOC	naga	chon1286	bird	6	ozɨ	ozɨ	2577	2577:bird	20	0	Naga Ao	391
114	Ao-Mongsen	AOM	naga	mong1332	bird	6	waya	waya	2577	2577:bird	20	0	Naga Ao	391
115	Nusu	NUS	nung	nusu1239	bird	6	hã.53	hã⁵³	2695	2695:bird	20	0	Stage 2	418
116	Serdukpen	SER	sul	sher1257	bird	6	hu	hu	2577	2577:bird	20	0	Stage 2	391
117	N-Qiang	QIA	syc	nort2722	bird	6	wə	wə	2577	2577:bird	20	0	Stage 2	391
118	Zhaba	ZHA	syc	zhab1238	bird	6	ŋo̲ʔ.55	ŋo̲ʔ⁵⁵	2695	2695:bird	20	0	Stage 2	418
119	Tujia	TUJ	tujia	nort2732	bird	6	ńie.3 pi.1	ńie³_pi¹	2695	2695:bird	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	418
120	Sherpa	SHE	tib	sher1255	bird	6	čečum. LF	čečum_LF	389	389:bird	20	0	Solu-Khumbu Sherpa	517
121	Bokar	BOK	tani	bori1243	bird	6	pə taŋ	pə_taŋ	508	508:bird	20	0	Stage 2	685
122	Nishi	NIS	tani	nisi1238	bird	6	pəta	pəta	508	508:bird	20	0	Nisi?	685
123	Lhota	LHO	naga	loth1237	bird	6	wo:ro	woːro	2577	2577:bird	20	0	Naga Lotha	391
124	Lijiang-Naxi	LIJ	bur	lich1241	bite	7	thər.55	thər⁵⁵	2696	2696:bite	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	419
125	Ninglang-Naxi	NIN	bur	naxi1245	bite	7	tha.13	tha¹³	2696	2696:bite	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	419
126	Jinuo	JIN	bur	youl1235	bite	7	thə.55	thə⁵⁵	2696	2696:bite	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	419
127	Jingpo	JNP	jnp	kach1280	bite	7	kə.31 wa.55	kə³¹_wa⁵⁵	431	431:bite	20	0	Jinghpaw	586
128	Yeinbaw	YEI	kar	yinb1236	bite	7	ʔe.44	ʔe⁴⁴	2404	2404:bite	20	0	Yinbaw Karen	348
129	Geker	GEK	kar	geko1235	bite	7	ʔei.33	ʔei³³	2404	2404:bite	20	0	Geko Karen?	348
130	Manu	MNU	kar	manu1255	bite	7	e.33	e³³	2404	2404:bite	20	0	Manumanaw Karen	348
131	W. Kayah	KYH	kar	west2409	bite	7	a.11	a¹¹	2404	2404:bite	20	0	Kayah Western	348
132	Yintale	YIN	kar	yint1235	bite	7	ʔei.33	ʔei³³	2404	2404:bite	20	0	Yintale Karen	348
133	Motuo-M	MOT	mot	dakp1242	bite	7	ŋam	ŋam	1614	1614:bite	20	0	Tawang Monpa, Dakpakha?	186
134	Lhota	LHO	naga	loth1237	bite	7	eŋkak	eŋkak	2174	2174:bite	20	0	Naga Lotha	309
135	Ao-Chungli	AOC	naga	chon1286	bite	7	aŋu	aŋu	2517	2517:bite	20	0	Naga Ao	368
136	Ao-Mongsen	AOM	naga	mong1332	bite	7	ŋo	ŋo	2517	2517:bite	20	0	Naga Ao	368
137	Nusu	NUS	nung	nusu1239	bite	7	chuɔr.53	chuɔr⁵³	1361	1361:bite	20	0	Stage 2	114
138	Serdukpen	SER	sul	sher1257	bite	7	ku=do-	kudo	2696	2696:bite	20	0	Stage 2	419
139	N-Qiang	QIA	syc	nort2722	bite	7	ʒi=ʒi	ʒiʒi	1614	1614:bite	20	0	Stage 2	186
140	Zhaba	ZHA	syc	zhab1238	bite	7	ŋat.21	ŋat²¹	2697	2697:bite	20	0	Stage 2	420
141	Tujia	TUJ	tujia	nort2732	bite	7	ka.3	ka³	2285	2285:bite	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	329
142	Sherpa	SHE	tib	sher1255	bite	7	phe. LR-	phe_LR	431	431:bite	20	0	Solu-Khumbu Sherpa	586
143	Bokar	BOK	tani	bori1243	bite	7	gam	gam	2240	2240:bite	20	0	Stage 2	320
144	Nishi	NIS	tani	nisi1238	bite	7	che	che	1152	1152:bite	20	0	Nisi?	60
145	Lijiang-Naxi	LIJ	bur	lich1241	black	8	na.31	na³¹	529	529:black	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	692
146	Ninglang-Naxi	NIN	bur	naxi1245	black	8	na.31	na³¹	529	529:black	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	692
147	Jinuo	JIN	bur	youl1235	black	8	a.44 na.42 la.4	a⁴⁴_na⁴²_la⁴	529	529:black	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	692
148	Jingpo	JNP	jnp	kach1280	black	8	tša̲ŋ.33	tša̲ŋ³³	1133	1133:black	20	0	Jinghpaw	50
149	Yeinbaw	YEI	kar	yinb1236	black	8	lṿu.11	lṿu¹¹	1973	1973:black	20	0	Yinbaw Karen	271
150	Geker	GEK	kar	geko1235	black	8	ḍʒaʔ.53	ḍʒaʔ⁵³	1131	1131:black	20	0	Geko Karen?	47
151	Manu	MNU	kar	manu1255	black	8	lø̣ə.11	lø̣ə¹¹	1973	1973:black	20	0	Manumanaw Karen	271
152	W. Kayah	KYH	kar	west2409	black	8	lɔ̣.11	lɔ̣¹¹	1973	1973:black	20	0	Kayah Western	271
153	Yintale	YIN	kar	yint1235	black	8	ʔa.11 ṣuŋ.35	ʔa¹¹_ṣuŋ³⁵	1237	1237:black	20	0	Yintale Karen	93
154	Motuo-M	MOT	mot	dakp1242	black	8	ćhaŋ lu	ćhaŋ_lu	1133	1133:black	20	0	Tawang Monpa, Dakpakha?	50
155	Lhota	LHO	naga	loth1237	black	8	ńika	ńika	2402	2402:black	20	0	Naga Lotha	347
156	Yimchunrü	YIM	naga	yimc1240	black	8	mɨrak	mɨrak	529	529:black	20	0	Naga Yimchungru	692
157	Ao-Chungli	AOC	naga	chon1286	black	8	tanak	tanak	529	529:black	20	0	Naga Ao	692
158	Ao-Mongsen	AOM	naga	mong1332	black	8	tenak	tenak	529	529:black	20	0	Naga Ao	692
159	Nusu	NUS	nung	nusu1239	black	8	na.53 a.31	na⁵³_a³¹	529	529:black	20	0	Stage 2	692
160	Serdukpen	SER	sul	sher1257	black	8	achõ	achõ	1133	1133:black	20	0	Stage 2	50
161	N-Qiang	QIA	syc	nort2722	black	8	ńiq	ńiq	1482	1482:black	20	0	Stage 2	139
162	Zhaba	ZHA	syc	zhab1238	black	8	noʔ.21	noʔ²¹	529	529:black	20	0	Stage 2	692
163	Tujia	TUJ	tujia	nort2732	black	8	lan.3 ka.1	lan³_ka¹	1973	1973:black	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	271
164	Sherpa	SHE	tib	sher1255	black	8	nak=pu. LF	nakpu_LF	529	529:black	20	0	Solu-Khumbu Sherpa	692
165	Bokar	BOK	tani	bori1243	black	8	ka:=yaŋ	kaːyaŋ	2699	2699:black	20	0	Stage 2	421
166	Nishi	NIS	tani	nisi1238	black	8	ka=ya	kaya	2699	2699:black	20	0	Nisi?	421
167	Lijiang-Naxi	LIJ	bur	lich1241	blood	9	sa.33	sa³³	2017	2017:blood	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	279
168	Ninglang-Naxi	NIN	bur	naxi1245	blood	9	se.55	se⁵⁵	2017	2017:blood	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	279
169	Jinuo	JIN	bur	youl1235	blood	9	ʃi.44	ʃi⁴⁴	2017	2017:blood	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	279
170	Jingpo	JNP	jnp	kach1280	blood	9	sai.31	sai³¹	2017	2017:blood	20	0	Jinghpaw	279
171	Yeinbaw	YEI	kar	yinb1236	blood	9	ʃwi.11	ʃwi¹¹	2017	2017:blood	20	0	Yinbaw Karen	279
172	Geker	GEK	kar	geko1235	blood	9	ṭwiʔ.53	ṭwiʔ⁵³	2017	2017:blood	20	0	Geko Karen?	279
173	Manu	MNU	kar	manu1255	blood	9	si.44	si⁴⁴	2017	2017:blood	20	0	Manumanaw Karen	279
174	W. Kayah	KYH	kar	west2409	blood	9	ćui.11	ćui¹¹	2017	2017:blood	20	0	Kayah Western	279
175	Yintale	YIN	kar	yint1235	blood	9	ṣwei.33	ṣwei³³	2017	2017:blood	20	0	Yintale Karen	279
176	Motuo-M	MOT	mot	dakp1242	blood	9	ji	ji	2017	2017:blood	20	0	Tawang Monpa, Dakpakha?	279
177	Lhota	LHO	naga	loth1237	blood	9	echẽn	echẽn	1210	1210:blood	20	0	Naga Lotha	84
178	Yimchunrü	YIM	naga	yimc1240	blood	9	thi=yi	thiyi	2017	2017:blood	20	0	Naga Yimchungru	279
179	Ao-Chungli	AOC	naga	chon1286	blood	9	ayi	ayi	2017	2017:blood	20	0	Naga Ao	279
180	Ao-Mongsen	AOM	naga	mong1332	blood	9	si	si	2017	2017:blood	20	0	Naga Ao	279
181	Nusu	NUS	nung	nusu1239	blood	9	sui.55 BUR	sui⁵⁵_BUR	-1	-1-2	20	1	Stage 2	11
