ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID
876	Lijiang-Naxi	LIJ	bur	lich1241	I	42	ŋə.31	ŋə³¹	2471	2471:I	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	358
877	Ninglang-Naxi	NIN	bur	naxi1245	I	42	ńa.33	ńa³³	2471	2471:I	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	358
878	Jinuo	JIN	bur	youl1235	I	42	ŋɔ.42	ŋɔ⁴²	2471	2471:I	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	358
879	Jingpo	JNP	jnp	kach1280	I	42	ŋai.33	ŋai³³	2471	2471:I	20	0	Jinghpaw	358
880	Yeinbaw	YEI	kar	yinb1236	I	42	khi.55	khi⁵⁵	2471	2471:I	20	0	Yinbaw Karen	358
881	Geker	GEK	kar	geko1235	I	42	khe.53	khe⁵³	2471	2471:I	20	0	Geko Karen?	358
882	Manu	MNU	kar	manu1255	I	42	he.11	he¹¹	2471	2471:I	20	0	Manumanaw Karen	358
883	W. Kayah	KYH	kar	west2409	I	42	va.33	va³³	4209	4209:I	20	0	Kayah Western	561
884	Yintale	YIN	kar	yint1235	I	42	khwɛ.55	khwɛ⁵⁵	2471	2471:I	20	0	Yintale Karen	358
885	Motuo-M	MOT	mot	dakp1242	I	42	ʒ́aŋ	ʒ́aŋ	2729	2729:I	20	0	Tawang Monpa, Dakpakha?	441
886	Lhota	LHO	naga	loth1237	I	42	a	a	2730	2730:I	20	0	Naga Lotha	446
887	Yimchunrü	YIM	naga	yimc1240	I	42	i	i	2730	2730:I	20	0	Naga Yimchungru	446
888	Ao-Chungli	AOC	naga	chon1286	I	42	ni	ni	2471	2471:I	20	0	Naga Ao	358
889	Ao-Mongsen	AOM	naga	mong1332	I	42	ni	ni	2471	2471:I	20	0	Naga Ao	358
890	Nusu	NUS	nung	nusu1239	I	42	ŋa.35	ŋa³⁵	2471	2471:I	20	0	Stage 2	358
891	Serdukpen	SER	sul	sher1257	I	42	gu	gu	2471	2471:I	20	0	Stage 2	358
892	N-Qiang	QIA	syc	nort2722	I	42	qa	qa	2730	2730:I	20	0	Stage 2	446
893	Zhaba	ZHA	syc	zhab1238	I	42	ŋo.51	ŋo⁵¹	2471	2471:I	20	0	Stage 2	358
894	Tujia	TUJ	tujia	nort2732	I	42	ŋa.3	ŋa³	2471	2471:I	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	358
895	Sherpa	SHE	tib	sher1255	I	42	ŋa. LF	ŋa_LF	2471	2471:I	20	0	Solu-Khumbu Sherpa	358
896	Bokar	BOK	tani	bori1243	I	42	ŋo:	ŋoː	2471	2471:I	20	0	Stage 2	358
897	Nishi	NIS	tani	nisi1238	I	42	ŋo	ŋo	2471	2471:I	20	0	Nisi?	358
1	Lijiang-Naxi	LIJ	bur	lich1241	all	1	ndɨ.33 χə.33 mb	ndɨ³³_χə³³_mb	862	862:all	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	761
2	Ninglang-Naxi	NIN	bur	naxi1245	all	1	dɨ.33 ta.33	dɨ³³_ta³³	862	862:all	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	761
3	Jinuo	JIN	bur	youl1235	all	1	tʃə.33	tʃə³³	1561	1561:all	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	167
4	Jingpo	JNP	jnp	kach1280	all	1	joŋ.31	joŋ³¹	1449	1449:all	20	0	Jinghpaw	132
5	Yeinbaw	YEI	kar	yinb1236	all	1	pwại.44 trv.22	pwại⁴⁴_trv²²	320	320:all	20	0	Yinbaw Karen	500
6	Geker	GEK	kar	geko1235	all	1	lɔ.55 nɨʔ.53	lɔ⁵⁵_nɨʔ⁵³	1699	1699:all	20	0	Geko Karen?	217
7	Manu	MNU	kar	manu1255	all	1	lụ.44 bɔ.11	lụ⁴⁴_bɔ¹¹	1699	1699:all	20	0	Manumanaw Karen	217
8	W. Kayah	KYH	kar	west2409	all	1	lɔ̣.33 pli.11	lɔ̣³³_pli¹¹	1699	1699:all	20	0	Kayah Western	217
