NUMBER	WORD	OCH	OCHNUM	PEK	PEKNUM	SCN	SCNNUM	BAI	BAINUM	FUZ	FUZNUM	HKK	HKKNUM	PAO	PAONUM	GEB	GEBNUM	KPQ	KPQNUM	YEI	YEINUM	PDN	PDNNUM	GEK	GEKNUM	MNU	MNUNUM	KYH	KYHNUM	YIN	YINNUM	SGO	SGONUM	KLQ	KLQNUM	PLC	PLCNUM	TUJ	TUJNUM	LEP	LEPNUM	MIJ	MIJNUM	KNQ	KNQNUM	SER	SERNUM	SUL	SULNUM	BGN	BGNNUM	WRT	WRTNUM	LHA	LHANUM	BAT	BATNUM	XIA	XIANUM	ALI	ALINUM	JIR	JIRNUM	SHE	SHENUM	CUO	CUONUM	MOT	MOTNUM	SNW	SNWNUM	KUL	KULNUM	KLN	KLNNUM	DUM	DUMNUM	LIM	LIMNUM	YAM	YAMNUM	DHI	DHINUM	TRN	TRNNUM	IDU	IDUNUM	MIL	MILNUM	PAD	PADNUM	SHA	SHANUM	APA	APANUM	GLQ	GLQNUM	HIL	HILNUM	BOK	BOKNUM	NIS	NISNUM	TGQ	TGQNUM	UBA	UBANUM	AKA	AKANUM	MJI	MJINUM	BOD	BODNUM	DIM	DIMNUM	GAR	GARNUM	RAB	RABNUM	KNN	KNNNUM	KNX	KNXNUM	PHO	PHONUM	CHA	CHANUM	YOG	YOGNUM	NOC	NOCNUM	WAN	WANNUM	JNP	JNPNUM	MNX	MNXNUM	RNQ	RNQNUM	SEM	SEMNUM	TAN	TANNUM	LHO	LHONUM	POC	POCNUM	SNQ	SNQNUM	YIM	YIMNUM	AOC	AOCNUM	AOM	AOMNUM	MAU	MAUNUM	KHE	KHENUM	CHO	CHONUM	KHN	KHNNUM	KHM	KHMNUM	MZI	MZINUM	ZEM	ZEMNUM	LIA	LIANUM	MRW	MRWNUM	KHQ	KHQNUM	KBQ	KBQNUM	MIK	MIKNUM	CHP	CHPNUM	MGX	MGXNUM	KHX	KHXNUM	LSH	LSHNUM	HKQ	HKQNUM	HMA	HMANUM	GAN	GANNUM	TID	TIDNUM	GUR	GURNUM	TMN	TMNNUM	THK	THKNUM	KAY	KAYNUM	WRB	WRBNUM	LAN	LANNUM	ZHA	ZHANUM	ACQ	ACQNUM	XID	XIDNUM	BOL	BOLNUM	LEQ	LEQNUM	LIJ	LIJNUM	NIN	NINNUM	JIN	JINNUM	ROU	ROUNUM	NUS	NUSNUM	ANO	ANONUM	RAW	RAWNUM	DUL	DULNUM	QIN	QINNUM	QIA	QIANUM	MUY	MUYNUM	PMQ	PMQNUM	PMI	PMINUM	ZHB	ZHBNUM	QUE	QUENUM	ERG	ERGNUM	DAO	DAONUM	SHI	SHINUM	NAM	NAMNUM	GUI	GUINUM	ERS	ERSNUM	LUS	LUSNUM	GAZ	GAZNUM	JIA	JIANUM
0		-10	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	19	0	19	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0	20	0
1	all	kīj (-r-) 皆	738	dōu 都	862	tou 都	862	ca5 kɛ7, ci1 [LB *s-ćat]	-1	tou52	862	du1	862	ka.44 loʔ.55 lo	1699	lu.22 sa.44 sɛ̃	1699	lọ́	1699	pwại.44 trv.22	320	lɔ̣.11-lvɨ.̃44	1699	lɔ.55 nɨʔ.53	1699	lụ.44 bɔ.11	1699	lɔ̣.33 pli.11	1699	lu.55 lu.11	1699	khɛ.44 ləʔ.53	1699	khɛ̲.55 lö̲.31	1699	sa.44 ləla.44	1699	xu.3 ńi.1	1469	gŭn	2246		-666	ceī	1561	zeb=do	1212	mə.1 ləŋ.1	1801	zap	1212	mthaã dag	862	chaŋ.55 ma.55	1199	jö.13 chɛʔ.53	1561	ha no	1469	chaŋ mæ	1199	ga. L1=ŋe. L1	2533	tok.HR	862	chaŋ.55 ma.53	-1	tham ćeʔ  TIB	-1	nelle.B	1785	khɔ:lɔ	2246	kholeŋ. L	2246	khələ	2246	kɛrɛk	2246	äŋ	2539		-666		-666		-666		-666	apɨŋ	320	ta-kum-a	2186	mɨlaŋ=rɨ	1801	bupiə	320	mɨllɨ	1801	kə baŋ	320	mɨlɨ	1801		-666	melaŋ	1801	vyeu	2637	veʔ	2637	boʔj	2693	kurup (Tib.?)	-1	pilak	1699	dɨmdak	862	əsə́y	1561	ɨšei	1561	paɨ, kɨmpai	256	pan=do	256	taŋrauŋ	667	hueri	738	paŋve	2637	joŋ.31	1449	pum=namak	318	aphu	318	kuncɨ	1561	hupta	862	o:mpa	256	ave	2637	aphɨm	318	alala	1785	aʒak	1245	telu, lu=cɨ	1785	thopfɨ	256	mepu	256	mütü	862	pete	862	pe.3 te.1	862	pekie	667	pelene	1469	matiu	1561	ahaŋ	2539	khaŋ	2539	kɨpu=ma	256	kadokave	2637	sə.bay NEP	-1	pəṭṭə	862	paĩ:h.1	320	an-za-in	1453	dihlak	1699	po po	256	cheŋ	1199	teŋ.2	1199	ta:n.1	862	cam.3=ma   NEP?	-1	yom.4	1449	solo	1785	a.lum:	1928	lɔ̲̃.55	1928	tʃa̲t.55	1561	kuai.55	2246	chot.55	1561	a.31 la̲p.55	1772	pan.31 ʃɔ̲ʔ.55	1561	ndɨ.33 χə.33 mb	862	dɨ.33 ta.33	862	tʃə.33	1561	ćiæ.35	1561	li.55	1785	a.32 daŋ.55	862	šaŋbɛ, khaŋbɛ	256	sɨ.31 naʔ.55	1469	za.241	1785	kin di	862	me.33 me.55	73	liɛ.35 wa.53	2637	põ.13 ni.55	320	rĩ.35 pa.55	4006	tə.55 łye.55	1785	ɛ ʁe lɔ	4006	thəm ćɛ TIB	-1	la.33 wa.55	2637	a.33 kɛ.33 mu.5	73	giɛ̃.33 ʒ̣ɨ.55	4006	ńo.33 kua.33	2246		-666		-666	[kə] tʃet TIB	-1
1	all		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	thams ćad	1561		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	kɨmpu	256		0		0		0	taŋrauŋ	667		0		0		0		0		0		0		0		0		0		0		0	temaŋ	73		0		0		0		0		0		0		0	ramme	667		0		0	ŋai	2533	pankou	2246		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	liɛ.35 wa.53	1785		0		0		0		0		0		0		0		0		0		0		0		0
2	ashes	smə̄j 灰	2686	xūi 灰	2686	xuei 11 灰	2686	xui4	2686	xui55	2686	foi1	2686	pha.33	2687	phɛʔ.53 shɛ.44	2687	mẹ́ phó	2687	pha.11	2687	pha.11	2687	pha.22 sha.44	2687	ku.11 pha.44	2687	kɔ.55 phɛ.11	2687	pha.33	2687	phaʔ.53 sha.44	2687	pha.31 cha.55	2687	pha.44 sha.22	2687	pu.4 chi.3	309	yu	2688	tɨ.3 mauŋ.2	162	me=pyāc 'fire-	1865	(ba=)mi	2686	bæ.1 ɣək.1	853	bamun	162	go thal	1022	kho.13 thɛ.55	1022	thei.13 kâ.55	1022	tha	1022		-666	tha. L1=la. T1	1022	thal=ǯum. LR, th	1022	pla.13	1865	thu lu	1022	pulu.B	1865	chubui	1865	püyü.H	1865	pɨʔɨ	1865	thappu	885		-666	bu=suri	309	gu.4	2122	i.1 gu.1	2122	mi-pi	309	med-bu	309	mad-bu	309	mú=bu	309	mico	1170	maya	2688	mə re:	699		-666	məcu tayu	1170		-666	hukhes=pu	309	(mai-)bu	309	(saj) haŋgar	2159	thapla	1865	ta(p)pra	1865		-666	təp=la	885	tɨp=la	885	tep=la	885	tāp	885		-666	tap=la	885	labu	309	tap.31	885	ut	2122	khuri	699	aye=vu	309	hotla	1865	mi=po:k	309		-666		-666		-666	ap	309	opu	309	pi=voni	1478	pavɨnuo	1478		-666	mi=ge	2597	mi.3 ge.5	2597	mi=maŋbɨt	27	tinbun	25		-666		-666		-666	mbut	27	phelo, theklo	1865	hmeʔ-mut	168	badap	885	duh.1=li:.1	1865	mei va:p	2687	vut=cam	2122	pil=vut	2122		-666		-666	mebro.1	1865	mep.2=phra.1	1865	me.1-prɛ	1865	malha	1865	pra	1865	[mjĭ.35] map.5	2687	[mji.21] mop.55	2687	ŋă.31 źap.35	2687	ẓɔʔ.55 phɔʔ.55	2687	mi.31 map.31	2687	mji.33 jap.21	2687	ɣɨ.55	1865	luə.13	1865	a.33 mə.55	2686	na.55 ma.35 phu	309	dʒɛr.42 nhɛr.42	1478	ńi.33 xi.55	1478	khaphu	309	pa.55 pu.55	309	mə.33 bẓi.241	2687	ći ći bu zụ	2687	râ.35	699	lyɛ.53	1865	lyə.55	1865	phi.53	2687	thə.55 pka.55 p	2597	vśɛ	1865	flɛ	1865	pa.33 ji.35	2687	la.35	1865	c̣hɨ.53	2687	ər.55	699	źy.35	699	khv.31 m.323	2159	sćɔ khɔ lɔp pk	2597
2	ashes		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	kahma	2686		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
2	ashes		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	tha. L1=la. T1	1865		0		0		0	pulu.B	309	chubui	309	püyü.H	309	pɨʔɨ	309	thappu	309		-666		0		0		0		0		0		0	mu=yu	2688		0		0		0		0		0		0		0		0		0		0		0		0	təp=la	1865	tɨp=la	1865	tep=la	1865		0		-666	tap=la	1865	labu	1865		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	vut	2122		0	mei wa:m	2687		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	thə.55 pka.55 p	2687		0		0		0		0		0		0		0		0		0
3	bark	bhaj 皮	262	pí 皮	262	p`i 12 p`i 11 (樹 )皮皮	262		-666	phui52 (chiu31 phui52)	262	pi2 (su4 pi2)	262	pheʔ.55	368	phaʔ.53	368	pêŋ, phè	368	θɨ̃.11 phe.55	368	svɨ.11 phɛ.44	368	ṭəɨ.31 phʌiʔ.53	368	phɔ.11	368	ćɔ.11 pha.55	368	sein.13 bei.33	340	ṭeʔ.53 phiʔ.53	368		-666	b̄ɛku.33	340		-666	a-pi ST368	366		-666	kholăp	1718	(hiŋ-)skuk	2069		-666	hiŋ-khuk	2069	pags pa	340		-666		-666		-666		-666	kok. L1=ten. T1	2069	kowa. LF=šiŋ. LF	2069		-666		-666	krusul.A	2347	hɔu	2069	ka.H	2069	səkkə	2069	ho:rik	2069	sip=präk	340	dhale	4340		-666		-666	acuk	2689	ešiŋ ašik	2689	eki ranam	537		-666	akuk	2069	epən	313		-666		-666	apin	313		-666	[šo-]khu	2347	[u-]phri=yiʔ	2690	biguʔr	2347	boŋur	2347	bigil	2347	khor-thap	2347	(pe=)sò	2689	(pi=)šo	2689		-666	khôn	2594	(pul=)khauŋ	2594	akhuon	2594	pankan	2594		-666	uku	2347		-666	(asɨ=)koza	1456	akor	2347	(caŋ=)fu	2576		-666		-666		-666	(te=)kap	2076	(suŋ=)kap	2076		-666	ekwe	2594		-666	(si=)žɨ	2690	si.1 zə.3	2690		-666	(chiŋ=)gei	2690	(asiŋ=)gi	2690	tiŋ=gi	2690	thiŋ=dan	880	(thiŋ=)gi	2690	hu	2576	[siŋʔ koʔ] pun	313	me-kho	2069	bokola NPL	-1	hawŋ	2360		-666	hawŋ	2360		-666	ho:ŋ.2	2360	phi.1	368	phi:.1	368	phi.1	368	swɔp	2009	a.khauk	2069		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666	sɛ	2009		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666		-666
3	bark		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	kholăp	2347		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	bikoʔŋ	2360		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
4	belly	pŭk 腹	226	dù=zi 肚子	4548	tu 3 cı 2 肚子	4548	fü6	-1	pu31 lo52	226	du3 s3	4548	hoʔ.22	2604	kəphu.44	277	phə́u	277	phu.55	277	phu.44	277	phu.55	277	he.44 phu.11	277	hɔ.55	2604	hu.55	2604	hə.44 phə.44	277	hu.55 phə.55	277	ʔo.44 phə.44	277	mɨe.4 ko.4	2691	băk	226	dăk.4	1121		-666	khar=bu	2158	θui.1	1956	lui	1956	grod pa	2611	ćho.15 ko.52	2611	ćö.13 pa.53	2611	ho	2604	ho	2604	su. L2=ba. T1	1207	sup.HF	1207	cɛ:.55 pa.53	2611	pho laŋ	277	ko:ʒ.A	-1	bɔ	226	mu=phu. L	226	mupu	226	sappo:k	226		-666	himuŋ	72	kɨ.3 jɨŋ.1	2139	khra.3 poŋ.34	284		-666	a-ki	2139	aki	2139		-666	aki	2139	kipo	2139	ki:=poŋ	2139	nep	4298	kɨpo	2139	kyopo	2139		-666	rug	2692	udəʔj	1019	haw	2604	ok	2118		-666	se	1207	ši	1207	vom=moŋ	72	ši=muŋ	72	vuk	2118	vok	2118	vak	2118	ka̲n.33	2139	puk	226	agen	2139	aovo	226	wuk	226	o:po:k	226		-666	mipoŋ	284	buk, puk	226	tepok	226	tupuk	226	opu	226	pfɨ=we	226	y=vade	493	va, vadi	493	(u.1) va.2 di.5	493	mipuk	226	mibuŋ=pui	284	chawon	2674	amoi	2691	puk	226	buŋ	284	pok	226	tuk	1121	(mi-)ṭuk	1121	phu:.1	277	pum	284	paw	277	vawn	2674	gil=pi	2139	gil.2	2139	pho.2	277	pho.2	277	pho.1	277	phɔu	277	wam:	2674	vɛ̃.35 tuk.31	2674	vam.21	2674	ɔm.31 tau.31	2674	om.31	2674	vɛ.31 tau.31	2674	wɔm.33 tou.33	2674	ndv.31 me.33	2691	bi.33 mi.33	2691	ɣo.55 phu.44	2674	va.31 læ.31	2604	va.31 lɔ.53 ɔ.3	2604	pha.55	277	phəwa	2604	pa.55	277	pu.33	226	si kua	4004	vu.35 lö.53	2604	pi.35	226	spi.55	226	bu.55	2604	lvu.55 , rvu.55	2604	vɛu	2604	vo	2604	xu.53 pao.33	226	hĩ.33 mbi.55	226	pa.55	226	ji.33 pha.55	4003	ʒ́ɨ.33 phæ.53	4003	fu̲.33	2604	[tə] pok	226
4	belly		0		0		0		0	pu31 lo52	4548		0		0		0		0		0		0		0	he.44 phu.11	2604		0		0	hə.44 phə.44	2604	hu.55 phə.55	2604		0		0		0		0		0		0		0		0	gsus pa	1207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	kipo	284	ki:=poŋ	284		0	kɨ=po	284	kyo=po	284		0		0		0		0		0		0		0		0		0	ši=muŋ	1207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	mibuŋ=pui	226		0		0		0		0		0		0		0		0	dul	493		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	phəwa	277		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
