NUMBER	WORD	OCH	OCHNUM	PEK	PEKNUM	SCN	SCNNUM	BAI	BAINUM	FUZ	FUZNUM	HKK	HKKNUM	PAO	PAONUM	GEB	GEBNUM	KPQ	KPQNUM	YEI	YEINUM	PDN	PDNNUM	GEK	GEKNUM	MNU	MNUNUM	KYH	KYHNUM	YIN	YINNUM	SGO	SGONUM	KLQ	KLQNUM	PLC	PLCNUM	TUJ	TUJNUM	LEP	LEPNUM	MIJ	MIJNUM	KNQ	KNQNUM	SER	SERNUM	SUL	SULNUM	BGN	BGNNUM	WRT	WRTNUM	LHA	LHANUM	BAT	BATNUM	XIA	XIANUM	ALI	ALINUM	JIR	JIRNUM	SHE	SHENUM	CUO	CUONUM	MOT	MOTNUM	SNW	SNWNUM	KUL	KULNUM	KLN	KLNNUM	DUM	DUMNUM	LIM	LIMNUM	YAM	YAMNUM	DHI	DHINUM	TRN	TRNNUM	IDU	IDUNUM	MIL	MILNUM	PAD	PADNUM	SHA	SHANUM	APA	APANUM	GLQ	GLQNUM	HIL	HILNUM	BOK	BOKNUM	NIS	NISNUM	TGQ	TGQNUM	UBA	UBANUM	AKA	AKANUM	MJI	MJINUM	BOD	BODNUM	DIM	DIMNUM	GAR	GARNUM	RAB	RABNUM	KNN	KNNNUM	KNX	KNXNUM	PHO	PHONUM	CHA	CHANUM	YOG	YOGNUM	NOC	NOCNUM	WAN	WANNUM	JNP	JNPNUM	MNX	MNXNUM	RNQ	RNQNUM	SEM	SEMNUM	TAN	TANNUM	LHO	LHONUM	POC	POCNUM	SNQ	SNQNUM	YIM	YIMNUM	AOC	AOCNUM	AOM	AOMNUM	MAU	MAUNUM	KHE	KHENUM	CHO	CHONUM	KHN	KHNNUM	KHM	KHMNUM	MZI	MZINUM	ZEM	ZEMNUM	LIA	LIANUM	MRW	MRWNUM	KHQ	KHQNUM	KBQ	KBQNUM	MIK	MIKNUM	CHP	CHPNUM	MGX	MGXNUM	KHX	KHXNUM	LSH	LSHNUM	HKQ	HKQNUM	HMA	HMANUM	GAN	GANNUM	TID	TIDNUM	GUR	GURNUM	TMN	TMNNUM	THK	THKNUM	KAY	KAYNUM	WRB	WRBNUM	LAN	LANNUM	ZHA	ZHANUM	ACQ	ACQNUM	XID	XIDNUM	BOL	BOLNUM	LEQ	LEQNUM	LIJ	LIJNUM	NIN	NINNUM	JIN	JINNUM	ROU	ROUNUM	NUS	NUSNUM	ANO	ANONUM	RAW	RAWNUM	DUL	DULNUM	QIN	QINNUM	QIA	QIANUM	MUY	MUYNUM	PMQ	PMQNUM	PMI	PMINUM	ZHB	ZHBNUM	QUE	QUENUM	ERG	ERGNUM	DAO	DAONUM	SHI	SHINUM	NAM	NAMNUM	GUI	GUINUM	ERS	ERSNUM	LUS	LUSNUM	GAZ	GAZNUM	JIA	JIANUM
26	fat		0		0		0		0		0		0		0		0	bài bwâŋ	2717		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	tɨso	1207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
27	feather	u̯̲aʔ 羽	2559	yǔ=máo 羽毛	2559	mau 12 毛 (ći 11 mau 12)	615	ma.21	81	ü31 mou52	2559	mo1	81	ʔa.11 chʌn.33	1198	ʔəshoʔ.53	1198	shwân	1198	ʃhwv.11	1198	ʃhõ.11	1198	thəɨ.22 ʃuʔ.53	1198	ʃho.33	1198	thu.11 shɨ.11	1198	shəo.33	1198	ʔəshuʔ.53	1198	a.31 chu.31	1198	ʔəsɨʔ.53	1198	si.3 ka.1	4535	a-kóp	2028	bɨl.2	422	pöl(h)	422	naphaŋ-amin	272		-666	aphaŋ	272	sgro	2559	ćo.13	2559	ʒ́ö.53	2559	ʒ́o	2559	rʒ́o	2559	pu. L1=ǯa. T1	374	pu=zok.HF	374	krɔ.13	2559	ʒ̣o	2559	phrã.A	77	walamma	77	lepti.H	1718	pha:sule:m	77	murik	81		-666	pakhena	-1	m.1	158	mu.1 bra.1	158	[ta-ka] ka-taŋ	508	a-mɨt	447	am-wit	447	pɨle	1718	amə	158	al-lap	1718	ńu yi:	4303	əm	158	lap	1718	ame	158	iothə=phro	389	məkəci	1198	gaŋ	2208	bagaraŋ	2208	do-kimil	158	kreŋ 'feather,	2208	ətòy	932	atui	932		-666	au=wi	4255		-666	nap	1718	ao=koi	2566	mun.33	158	(uchek=)matu	932	teroha	2559	amhi	158	vanoha	2559	o:hɨm	4060	akɨsa	1198		-666		-666	eńo	546	towa	2559		-666	mhi	158		-666	parama	158	pe.5 ra.5 mie.1	158		-666	pekankat	4342	kahu	2559	phori	389	awu	2559	kahu	2559	arveŋ	2559	menʔ	158	(mi-)mha	81	ba'kə̄r.1	2566	hmul	158	hmul	158	hmul	158		-666	mul.1	158	pxya:.1	1718	pyap.3=šiŋ	1718	muy.3	158	mul	158	mwe:	158	ʃɔ̆.35 muk.55	81	ʃŏ.21 mau.55	81	a.31 mui.31	81	mui.31	81	a.31 mau.35	81	sŏ.55 mou.55	81	no.21	81		-666	mɨ.44 nu.44	81	ćha.55 min.55	158	mhɨi.55	158	ćha.55 min.55	158	kha mil	158	aŋ.31 mɨ̆l.55	158	χmə.33	158	hu pa	1198	ʒ́e.35 wu.35 m	81	ru.35 mhã.53	158	ma.55 ʃu.55	1198	mhu.55 ʒ̣o.53	81	pća.13 ʒ̣o.55	1718		-666	ɣra spə	374	sũ.55	1198	hũ.33  EE	1198	chɔ̃.33	1198	mar.55	158	mu.53	81	ńo.35	81	[tɔ] mŋi	4059
27	feather		0	-máo 羽毛	615		0		0	ü31 mou52	81		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	naphaŋ-amin	158		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
28	fire	smējʔ 火	84	xuǒ 火	84	xo 2 火	84	xui1	84	xui33	84	fo3	84	me.33	84	miʔ.53	84	mẹ́	84	mi.22	84	mẽi.11	84	meiʔ.53 ʔu.33	84	mi.44	84	mi.11	84	mi:.33	84	meʔ.53 ʔu.44	84	me̲.31	84	miʔ.53	84	mi.1	84	mí	84	măi.4	84	mē̃	84	ba	84	bæ.1	84	boe	84	me	84	me.13	84	ńe.55	84	ńe	84	mńe	84	me. T1	84	me. LR	84	me.13	84	mi	84	mi:.A	84	mi	84	mi. L	84	mi	84	mi	84	mi	84	me	84	na.3 mɨn.1	84	ma.1 mru.1	84	ami	84	ə-mə	84	umɨ	84	yàmu	84	emə	84	əm	84	ə mə	84	əm	84	emə	84	eme	84	mi	84	maih	84	oʔr	442	wai	442	wa-al	442	bár	442	wèn	442	a	4256	o	4256	wàn	442	wal	442	van	442	van	442	wan.31	442	mei	84	ma	84	ami	84	mei	84	o:mi	84	ani	84	mi=chaŋ	84	mo	84	mi	84	mizɨ	84	ami	84	eme	84	me	84	mi	84	mi.1	84	mi	84	hemi	84	chami	84	ami	84	mai	84	mai	84	mei	84	hme(ʔ)	84	mhe	84	mé:h.1	84	mei	84	mei	84	mei	84	mei	84	mei.1	84	mi.1	84	me.1	84	me.1	84	myẽ	84	mi:	84	mji.35	84	mji.21	84	poi.31	309	n.55 pui.31	309	mji.35	84	mi.31	84	mi.33	84	mv.33	84	mi.44	84	mi.31 ɣa.44	84	mi.55	84	ćhɛ.31 mi.55	84	thəmi	84	tɨ.55 mi.55	84	mi.33	84	mə	84	mɨ.53	84	mâ.35	84	mâ.13	84	mâ.35	84	mɔ.13	84	wmɨ	84	ɣmə	84	ńɛ.35	84	mi.55	84	mĩ.33 ta.53	84	mɛ.55	84	me.35	84	m.33 to.35	84	[tə] mtʃik	84
28	fire		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	a	4256		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
29	fish		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ʁʒə	4063		0		0		0		0		0	ʁa jɨ	4063	ʁjə	4063		0		0	tʃɨ.53 ńi.53	2501		0		0		0		0
29	fish	ŋha 魚	2501	yú 魚	2501	y 12 魚	2501	ŋü4	2501	ŋü52	2501	ŋ2	2501	thaʔ.55 pe.22	4488	t̯a.22 pho.44	4488	tạ́	4488	tạ.55	4488	tạ.33	4488	t̯aʔ.53	4488	tɔ̣.33 pho.44	4488	tɛ̣.33	4488	ta.11 phu.55	4488	ńãʔ.53	2501	ńa.31	2501	zaʔ.53	2501	soŋ.3	2501	ŋo	2501	a.3 ŋa.1	2501	machī IND?	-1	ńu	2501	ka.1 fuaŋ.2	4432	ũ-a	2501	ńa	2501	ńa.15	2501	ńa 231	2501	ńa	2501	ńä	2501	ńa. L2	2501	ŋya. LF	2501	ńa.13	2501	ŋa	2501	ma:ca: NPL	-1	Na	2501	nhö. L	2501	Nɨ	2501	na	2501	na	2501	heya	2501	ta.3 ŋaŋ.4	2501	a.1 ŋa.1	2501	aŋu	2501	ə-ŋo	2501	eŋɔ	2501	ŋi	2501	ŋoi	2501	ŋui	2501	o ŋo:	2501	ŋuyi	2501	ŋɨ	2501	ŋui	2501	ci	2719	thui, chui	2719	naʔ	2501	na	2501	na-tok	2501	ná	2501	ńah	2501	ńa	2501	ńah	2501	ŋau	2501	ŋa	2501	ŋa	2501	ńa	2501	ŋa.55	2501	ŋa	2501	cühü	4064	akha	4064	khai	4064	o:ŋo	2501	aŋa	2501	mɨŋa	2501	thɨŋɨ	2501	aŋo	2501	aŋa	2501	okho	4064	khu	4064	khu	4064	kho	4064	khuo.2	4064	heka	4064	heka	4064	chakha	4064	aka	4064	khai	4064	kha	4064	ok	4061	ŋaʔ	2501	ḍiša	4062	ŋa:h.2	2501	sa-ŋha	2501	ŋa	2501	ŋa	2501	ŋa	2501	ŋa.1 (sa.1)	2501	tã.2=ga	2501	tar.2=ŋa	2501	tar.1=ŋa	2501	ŋa	2501	ŋa:	2501	ŋa.55	2501	ŋŏ.21 co.21	2501	kă.31 ṣua.31	2501	ŋhɔ̆.31 ṣɔ.31	2501	ŋə̆.31 ta.31	2501	ŋə̆.31 co.33	2501	ńi.33	2501	ńi.33 zo.33	2501	ŋhɔ.44 ʃɔ.44	2501	ŋo.31 kõ.55	2501	ŋa.55	2501	ŋa.33	2501	ŋa	2501	ŋa.55 plaʔ.55	2501	ʒɨ.33	2719	ʁʒə	2719	ʁuɨ.53	4063	ʒ́ɨ.53	2719	dʒə.55	2719	ẓũ.35	2719	ńa.13 TIB	-1	ʁa jɨ	2719	ʁjə	2719	o.55	4063	zu.55	2719	tʃɨ.53 ńi.53	2719	zu.55	2719	ńæ.35 TIB	-1	ŋa.31 mɛ.44	2501	tʃu jo	2719
30	fly		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	heŋ	4304		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
30	fly v.	phar 飛	276	fēi 飛	276	fei 11 飛	276	fü4	-2	pui55	276	bi1	276	kwaŋ.22	0	ʔəxwi.33	0	sə̣̀ɨ	1458	źṿ.55	1458	thvu.11 źṿɨ.3	1458	ji:.33	1458	ßị.11	1458	źɨə̣.11	1458	ju.33	1458	ju.33 lə.44 mu.	1458	ju.33	1458	fɨʔ.53	1458	za.1	1280	lám	77	phiuŋ.1	272	yam-	1458		-666	pie.1	276		-666	ãphur	276	phir.55	276	dĩ.55	938	phər	276	mpər	276	phur. L2-	276	phur. LR-	276	phir.55	276	phen	276	ber.A-	276	per-	276	bher. L-	276	byer=nɨ	276	pɛ:maʔ, -pɛ:r-/	276	pe:s- ; pe:-	276	urai-< NPL	-1	jim.2	272	li.1	1718	byar	276	yob	1458	yop	1458	gó	2566	də	938	ʒar	1280	byar	276	ʒe-	1280	ʒar	1280	ʒer	1280	ru=ʒo-	4336	gənui	4330	bir	276	bur	276	bila	276	pur-a,  pu-a	276	pu	276	pu	276		-666	pi-	276	apau	276		-666		-666	pje̲n.333	276	pai	276		-666	yau=ve	77	yoŋ	1458	phyai	276	prɨ	276	ye	77		-666	ima-ao	77	yem	77	že	77	žo	77	prɨ	276	pro	276	pruo.1	276		-666	lem-chu	77	lem	77	yoŋ	1458	yoŋ-gasei	1458	som	77	iŋʒar	1280	šuŋ-	1458	bhur-	276	buhr.1	276	thlawk	4079	zuan	1458	vuoŋ	2559	loŋ	4079	le:ŋ.2	4079	pxi=ri.1-	276	phyaŋ.1-	276	pyur.3-	276	lip-	1718	pjam	272	tɔ̃.35	938	taŋ.21	938	c̣am.55	272	c̣am.55	272	tɔ̃.31	938	ta:ŋ.33	938	mbi.31	272	ʒe.13	272	prɛ.42	272	piɔ.33	272	bia.35	272	bɛm.31	272	dəm	272	ber.53	276	ʒ́e.241	272	gzi	272	nʒ́ye.35	272	khə.35 bẽ.35	272	khə.13 bʒɛ̃.13	272	tə.35 de.55	938	rde.13	938	bźo la	272	bjo	272	bu.33 źĩ.55	272	fɛ.53 ha.35	4304	phü.55	276	guar.55	2566	bźɛ̃.55	272	phə.31	276	[kɔ] bjɔm	272
31	foot	ćok 足	2720	jiǎo 腳	2150	ćiau 2 pər 2 腳 板儿	2150	ko6	2150	kha55	-1	giok5 pan1	2150	khaŋ.33 ja.22	2150	kha.22 ʔi.44 ṭa	2150	khân.zà	2150	kə̃.11 khu.55	2150	ka.33 khvu.11 l	2150	kəja.22 laʔ.53	1676	khɔ.44 pøə.33	2150	kha.33 dɨə.11	2150	kha.11 dau.55 l	2150	khɔʔ.53 lãʔ.53	2150	khɔ.31 de̲.55	2150	khɔʔ.53 za.33 t	2150	ći.4	2340	thoŋ, dyaŋ	935	pla.1	1676	baŋ	4418	la	1676	læ.1	1676	loai	1676	rkaŋ pa	2150	kaŋ.55 pa.55	2150	kõ.55 mba.53	2150	hkaŋ wa	2150	rkoŋ ŋä	2150	kam. L1=ba. T1	2150	kaŋ=bɛ.HF	2150	le.13 mɛʔ.53	1676	bi	6	khoyli.A	2057	lɔN	1857	sɛl.H	4372	phoʔlɨ	1676	laN	1857	saraŋ	1857	khokoi	2256	groŋ.4	2150	a.1 ge.1 ša.4	2340	bya-pyu	6	a-lə, a-le	1676	le-po	1676	a-li	1676	alə	1676	ale	1676	lə pyo	1676	al	1676	lə=cu	1676	lapen	1676	əši	1676	lai	1676	ateʔŋ	935	jaga	1676	ja-a	1676	cá-kham	1676	yà	1676	ya	1676	la	1676	yō	1676	ya=vaun	1676	da	1676	chia	1676	lə.31 ko.33	2256	khoŋ	2057	mpha	6	apuku apa	6	phei	6	mpo	6	aʒi	2720	giŋ, aʒiŋ	2720	chiŋ	2720	tecuŋ	2720	techaŋ	2720	ophi	6	phe	6	uphe=zi	6	phi=že	6	(u.1) phi.3 zə.	6	mipi	6	mipi=dei	6	cha=phiba	6	pepego	6	phai	6	phai=pa	6	keŋ	2150	dom	4066	(mi-)hil	4065	khɨ̃:.1	2150	ke	2340	ke	2340	ke	2340	keŋ=pek EE	2340	khe.3 pe:k.1 EE	2340	pxa.3-li	1676	kaŋ.1   TIB	-1	pa.3=le	1676		-666	khre	2340	khjik.31	2340	khji.51	2340	ćhi.55	2340	chi.55	2340	khji.55	2340	khjei.33	2340	khɨ.33	2340	khɨ.31 chə.13	2340	ʃɔ.33 khi.44	2340	ćho.33 [pho.4	2340	khri.35	2340	a.31 xɛ̃.55	2340	hi dam	2340	xrai.55	2340	ʒ́i.55	2720	dʒa qu	2720	ŋgâ.35	2150	c̣hə.53	2720	c̣hə.55	2720	khö.53	2150	sko.33	2150	ẓko	2150	ṣko	2150	khâ.55	2150	ṣɨ.33 kɛ.33	2150	ga.35	2150	ər.55 phɛ.55	1676	li.33 phiæ.53	1676	chɨ.33 pha.55	2720	[tɔ] me	4067
31	foot		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	dimla:.A	1857		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	uphe=zi	2720	phi=že	2720		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
32	full	mārʔ 滿	124	mǎn 滿	124	man 2 滿	124	ma1	124	muaŋ33	124	man1	124	boj.44	2694	pwɛ.44 thãʔ.53	2694	bwé	2694	bwai.55	2694	bwɛ.44	2694	b̄we.55	2694	biɛ.33	2694	ba.33	2694	pwɛ.55	2694	p̯wẹ.33	2694	buɛ.33	2694	pɣi.33 lɔʔ.53	2694	man.2 CHIN	-1	a-blyăŋ	1690	phlăŋ.1	1690	büŋšĕs	1690	phiŋ=di	1690	liɛ.1	4433	liya	4433	gaŋ ba	2539	khaŋ.52 pa. T	2539	kõ.13	2539	kaŋ wo	2539	kaŋ	2539	khaŋ. L2	2539	kaṭiki.HR	2539	tem.15	491		-666	bri:.A, pri:.A	1690		-666	bhɔypɛ. L	4378		-666	timmaʔ, -tims-/	491	itthuk	1041		-666	blɨŋ.1	1690	broŋ.1 ba.1	1690	baŋ	1690	bɨŋ	1690		-666	pòte	1041	bɨ-cir	1690	bu-ne	1690	biŋ	1690	bɨr	324	akuyariŋ	4305	byaŋ	1690	guw	2535		-666	buŋ	1690	gablaĳaba	2535	gapa	2535	kap-a	2535	ma=pù	124	mae	124	maei	124	šenko	4257		-666		-666		-666	phʒiŋ.55	1690	thalba	4072	sɨ	1199	chitoi	1199	kapui	2694	phyaŋa	2694	pro	2694	ʒiŋrɨ	4071	khi	2535	asuŋ	1199	suŋa	1199	phrowo	2694	co	1199	kɨmɨtɨ	1199	cu	1199	chu.3	1199	puŋ	2694	pui=git	2694	phuih=bu	2694		-666		-666	pɨdik	1041	pleŋ	1690	bliŋ-	1690	piŋ-khe	1690	byal.2	4068	khat	2045	khat	2045	sip	1212	dim	491	dim.1	491	ne.2	4070	net.2	4070	kaŋ.1-pa TIB	-1	naŋpa	542	prań.	1690	pjaŋ.55	1690	pjiŋ.55	1690	pẓəŋ.35	1690	pɨŋ.35	1690	pjaŋ.35	1690	pjə:ŋ.55	1690	ṣər.55	1561	ṣu.13	1561	prə.33	1690	piẽ.35	1690	brə̃r.31	1690	a.31 bɨ.31	1690	biŋ	1690	dam.53	491	sye.55	1561	kharp	4378	to.55 sɨ.33	1561	sü.55 sü.55 mə.	1561	su.55	1561	lo.55 sa.55	1561	psɔ.55	1561	mcɛ	1690	[rə] xsɛ	1561	lia.33 ly.35	4433	bu.55 tɛ.55	4378	ʒ́i.35	1690	da.33 bar.55	491	de.33 bar.53	491	ćɛ.33	1690	[kə] mńok	4069
32	full	leŋ 盈	1690		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
33	give	pĳ=s 畀	191	gěi 給	4553	kei 2 給	4553	sɨ.31 [Xiandao ci.31]	-5	khöük23	4554	bun1	4583	phe.33	191	ʔi.33	4518	phẹ́	191	phi.22	191	phei.11	191	phəiʔ.53	191	i.33	4518	die.55	931	dɛ.31	931	he:ʔ.53 lɔ.33	4490	he̲.31	4490	ʔo.22 sət̯a.44	4500	lie.3	1680	byi, bi	191	pi.1	191	kē-	2050	na	2469		-666	phi	191	ster	931	te:.55	931	tɛʔ.53	931	hter	931	rter	931	ter. L1-	931	ter. LF-	931	ćiu.35	191	ge	2050	ge.A-	4554	pi:-	191	bi. L-	191	bi:=nɨ	191		-666	pi:s- ; pi:-	191	pi-	191	ŋŋ.2	4490	haŋ.2	4490	ram	215	bi	191	bi	191	bì	191	ʒɨ	191	ʒi	191	bi:	191	ʒi	191	ʒi	191	ʒa	191	ʒi-	191	bi, bih	191	hoʔr	4529	ri	636	on-a	4529	rá-khu-a	636	pha	191	pha	191	šuo	4293	ku-	2050	ku	2050	ko	2050	pa	191	tšoʔ.31	1171	pi	191	cɨ	191	cɨ	191	mi	4074	pi-	191	cɨ	191	cɨ, ʒɨ	191	ʒi, chi	191	agɨ=cɨ	191	khi	2050	pi	191	psɨ	191	prɨ	191	cɨ	191	kha.3 sə.2	191	peu	191	pei	191	pi	191	pi	191	pi	191	ti	191	pi	191	bəyʔ-	191	ya-	4073	ya.1	4073	pe:k, pe	191	pek	191	pe, phal	191	pie	191	pia.1	191	pĩ.1-	191	pim.1-	191	pim.1-	191	bin-ter-	191	pe:	191		-666	pji.21	191	ci.31	191	ci.31	191	pi.31	191	pje:i.33	191	źə.55 EE	191	ki.32 EE	191	pi.44	191	pi.35	191	bi.31	191	ʒ́i.55 o.31	191	zi	191	bi.53, ʒi.53	191		-666	gẓə	2050	[tho.33] tâ.53	-1	[thə.13] khuɛ̃.	2184		-666	[tʌ.33] khi.33	2184	kho.55	2184		-666	fkho	2184	kɛ̃.55	2184	ćhi.31 kuo.31	2184	kã.55	2184		-666	khe.35	2184	kɨ.31	2184	[kɔ] wə	4073
33	give	laʔ 予	1680		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	sbjin	191	ćɛ.52	191		0		0	wćən	191		0		0		0	bi	191		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
34	good	xūʔ 好	2642	xǎo 好	2642	xau 2 好	2642	xu1, kɛ6	2642	xo33	2642	xo3	2642	hau.42	290	ʔəʔɛ̃ʔ.53	4519	rạ̀u	290	rau.55	290	rau.44	290	rəoʔ.53	290	wɛ.33 lẹ.11	4489	ria.55	290	dʒɨ.55	1135	ɣe.33	290	ɣe.33	290	ʔɛʔ.53	4519	cha.3	1362	ryu	1410	kɨ.3 sɨt.4	4475	dăm	1091	aʒab	1212	a.1 niaŋ.3	566	wie	4489	legs pa	1725	lek.13 po.55	-1	ja.13 pu.53	1410	a ʒo	4075	jak kə	1410	le. L1=mu. L1	1725	lye=mu. LF  EE	1725	li.13 khu.31	1725	lek pu TIB	-1	rim.A	846	nɔi-	566	bhɔŋ=pɛ. L, bhu=	348	nɨ=nɨ	566	nu=ba	566	nu:-	566	elka	1988	pra.1	290	pra.1	290	ayit	4306	ai	4306		-666	aya	4306	alə	1675	al-nə	1675	po	235	alpa	1675	alə	1675	ale	1675	u, umdo	4489	mivi	4489	ham	2054	hamba	2054	nama	613	nem-a	613	məy, əmèy	96	mei=pu	96	mei=pɨ	96	mai=bɨ	96	akhul	2382	asan	1135	mai	96	kə.31 tša.33	1362	apha=ba	235	kegwa	4489	akevi	4489	kama=tha	1362	mho:m	96	kɨ=mhie, mhie-š	96		-666	acɨ	1362	taʒuŋ	1135	tɨpoŋ	348	kažɨ	4489	we	4489	kɨve	4489	kevi	4489	vi.2	4489	keyi	4489	kei=be	4489	gui=bu	4489	bi	235	kawoi=ba	4489	gai=mei	4489	me	96	pe	235	se	1362	ca.1	1362	ṭha	290	tha=mi	290	ṭha	290	pha	290	pha:.3	290	chyã:.1-ba	1135	cya.3=pa	1135	sa.3	1135	lɔ	1675	kauŋ:	4076	kai.31	2382	ke.51	2382	ći.55	2382	cɛ.55	2382	kai.55	2382	kɛ:.31	2382	ka.33	2382	ʒ́ə.31	1135	mə.44	96	lo.35	1675	ge.35	2054	lhɛ.33	1675	šəla	1675	gam.53	2054	na.33	566	na	566	si.33 vɨ.55	1362	ćhyi.55 mə.53	1195	phʒi.55 EE	1410	je.55 je.55	1410	qa.55 ćhi.55	1195	ŋi	2477	[ga] ʁjɛ	1410	ra.33	290	nɛ.33	566	gie.35 u.55	1410	ja.33 li.55	1848	li.33 li.53	1848	na.35	566	[kə] hou	2642
34	good		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	jag po	1410	ja.13 ko.55	1410	zõ.53 bo.53	4075		0		0		0		0		0		0		0		0		0		0		0		0	remka	846		0		0		0		0		0		0		0		0		0	alpa	235		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	ṣe.33	1362		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
