Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	taŋrauŋ, na⁵⁵_ma³⁵_phu	Palaichi, Yogli, WrittenTibetan, Shixing, Tamang, CuonaM, Mikir, Khoirao, Rourou, Haka, Magar, Rawang, Garo, Wancho, Pumi1, Manipuri, Sgaw, Geker, PaO, Bugun, Leqi, Bodo, Achang, LhasaTibetan, AoChungli, Kelun, JianchuanBai, NinglangNaxi, Liangmai, Mzieme, UpperBangni, Sqiangqin, Motuo-M, Bokar, MijuGeman, Zeme, Manu, Yimchunru, Ersu, Nocte, Shaiyang, Khezhama, Yeinbaw, Chepang, Padaung, AlikeTibetan, Chang, Anong, Bola, Namuzi, Kaike, Jingpo, Rabha, Kabui, Dimasa, Apatari, Geba, LangsuMaru, Jirel, Lushai, Limbu, XiaxeTibetan, Dulong, Yintale, Quueyu, Maram, Phom	100	U+0061
_	_	thə⁵⁵_pka⁵⁵_p, tha_L¹la_T¹	Jirel, Quueyu, Nqiang, Jiarug, WrittenTibetan, Geba, LijiangNaxi, Tujia, Rourou, Bokar, Hmar, Motuo-M, Palaichi, Manu, BatangTibetan, Wkayah, Pumi1, Ergong, Yeinbaw, Bola, Anong, Namuzi, Sgaw, Geker, PaO, AngKohima, Leqi, Sulong, LhasaTibetan, Shixing, Dulong, Kelun, JianchuanBai, CuonaM, NinglangNaxi, Sqiangqin, MijuGeman, Sherpa, Guiqiong, Ersu, Gazhuo, Konyak, Horpa, Pumi2, AlikeTibetan, Tagin, CHN, KayanPekon, Muya, Lushai, Idu, Achang, XiaxeTibetan, Yintale, Nusu, Jinuo	100	U+005f
i	i	phi¹, bigil	Nqiang, Mzieme, Hmar, Zeme, Garo, Pumi1, CHN, AngKohima, Lushai, Tujia, Khoirao, NinglangNaxi, Haka, Padam, Fuzhou, Miji, Pumi2, Chang, Anong, Bodo, Beijing, HillMiri, Gangte, Hakka, Yintale, Gallong, JianchuanBai, AngKhonoma, Liangmai, Rourou, Sangtam, Lhota, Sqiangqin, Sherpa, BatangTibetan, Wkayah, Guiqiong, Shaiyang, Dhimal, Ersu, Konyak, Gurung, Yeinbaw, Bola, Tagin, Namuzi, Geker, Sgaw, Kaike, Bugun, Lepcha, Leqi, Yamphu, Idu, Achang, Limbu, Sulong, Nusu, Shixing, Thakali, Mao, Maram, Tiddim, Milang	100	U+0069
u	u	chubui, puluB	Sunwar, Kulung, Yogli, Dhimal, Fuzhou, Chepang, Dimasa, Yintale, Tujia, Nocte, Manu, Manipuri, Burmese, CHN, Bugun, Geba, Lushai, Achang, AoMongsen, Tangkul, Kabui, Gallong, JianchuanBai, NinglangNaxi, Khoirao, Mzieme, Kelun, Aka, Dumi, Haka, Magar, Hmar, Motuo-M, MijuGeman, Zeme, Ersu, Sherpa, Palaichi, Shaiyang, Miji, Yimchunru, Taraon, Khezhama, Yeinbaw, Padaung, Chang, Bola, Tagin, Khaling, Namuzi, Sema, Geker, Rengma, Nqiang, Apatari, LangsuMaru, Leqi, Idu, Bodo, Beijing, Serdukpen, Hakka, Dulong, Milang, Jinuo	100	U+0075
e	e	sein¹³_bei³³, nelleB	AngKhonoma, Zeme, AngKohima, Aka, Konyak, Sunwar, Rengma, Gangte, Tujia, Tamang, Mzieme, UpperBangni, Hmar, Manu, Sherpa, Gurung, Pumi2, Dimasa, Jirel, Muya, Lushai, XiaxeTibetan, Quueyu, AoChungli, Thakali, Yintale, Phom, Tiddim, LijiangNaxi, Kulung, CuonaM, Mikir, NinglangNaxi, Jiarug, Magar, Sqiangqin, Motuo-M, Haka, Nocte, BatangTibetan, Padam, Miji, Fuzhou, Shaiyang, Manipuri, Ergong, Khezhama, Chepang, Yeinbaw, Horpa, Khaling, CHN, Sgaw, Sema, WrittenTibetan, PaO, Kabui, Serdukpen, Nishi, AoMongsen, Milang	100	U+0065
o	o	kyopo, thoʔ⁵³_pho⁴⁴	LhasaTibetan, Mikir, Nocte, Phom, Fuzhou, Jirel, Thakali, Tangkul, JianchuanBai, Zhaba, UpperBangni, Bokar, Hmar, Palaichi, Sherpa, Konyak, Gurung, CHN, WrittenTibetan, Sema, PaO, Sgaw, Rabha, Geba, Bodo, Beijing, Mao, Tujia, Tamang, CuonaM, Liangmai, Khoirao, Sangtam, Jiarug, Dumi, Motuo-M, Manu, Padam, Ersu, Wancho, Manipuri, Ergong, Khezhama, Milang, Anong, Khaling, Kaike, Jingpo, Bugun, Dimasa, Leqi, Idu, Lushai, Yamphu, Serdukpen, Hakka, AoChungli, Shixing, Quueyu, Maram, Kabui, Tiddim, Kelun, Jinuo	100	U+006f
m	m	mama, šimuŋ	Tamang, MijuGeman, Manipuri, Kaike, AoChungli, Kabui, LijiangNaxi, Kulung, Zhaba, Sangtam, Sherpa, Dhimal, Pumi1, Gazhuo, Chepang, AlikeTibetan, Chang, KonyakD, Namuzi, Yamphu, Achang, XiaxeTibetan, LhasaTibetan, Thakali, Maram, OldChinese, CuonaM, NinglangNaxi, Rourou, Mzieme, Mikir, Kelun, Jiarug, Lhota, Dumi, Motuo-M, Palaichi, Manu, Miji, Phom, Shaiyang, Horpa, Gurung, Yeinbaw, Padaung, Pochuri, Bola, Milang, WrittenTibetan, Geker, PaO, Jingpo, Sema, Rabha, Bugun, LangsuMaru, Geba, KayanPekon, Muya, Leqi, Limbu, Gangte, Shixing, Tangkul, AoMongsen, Yintale, Tiddim, Jinuo	100	U+006d
i$	i	kai, chubui	Zeme, Maram, Kabui, Kulung, Khoirao, Dhimal, Sema, AngKhonoma, Liangmai, Padam, Bugun, Mao, Mikir, Mzieme, UpperBangni, Burmese, Chang, Tagin, Nqiang, Rengma, Dimasa, HillMiri, AoMongsen, Nishi, Tangkul, Gallong, Milang, Sangtam, Jiarug, Hmar, Motuo-M, Nocte, Manu, Miji, Garo, Yogli, Yimchunru, Shaiyang, Wancho, Taraon, Khezhama, Pochuri, Lepcha, Apatari, Lushai, Yamphu, Limbu, Serdukpen, Gangte, AoChungli, Thakali	100	U+0069 U+0024
