Grapheme	FREQUENCY	IPA	UNICODE
^		NULL
$		NULL
ā	0	aː	
ō	0	oː	
=	0	NULL	
khʷ		kʷʰ
ū	0	uː
ə̄		ə		
ǎ		a
ī		iː
u̯		w
ē		eː
á		a
à		a
é		e
è		e
u̯̲		w
a		a	
ú		u
ù		u
ǔ		u
ṉ		n
m̲		m
ŭ		u
śitou		ʂ ʅ t o u
shítou		ʂ ʅ t o u
śitou_śY		ʂ ʅ t o u
_?V		NULL
ǔ		u
_śY		NULL
ǚ		y
shítou		ʐ ʅ t o u
t`ai_yaŋ		t a i j a ŋ
shétou		ʂ ə t o u
ćhie²_ći		tʃʰ i e ² tʃ i
ǔ		u
ghʷ		gʷʰ
ϑ		θ
Ł		ł
ƛ		ł
ŏ		o
g̲		g
í		i
tóu_?Y		t o u
ḏoŋʔ_		d o ŋ ʔ
śitou_śY	ʃ i t o u
ś		ʃ
Łhajs		łʰ a i s
ƛh		łʰ
ǜ		y
⁶		6/⁵
ì		i
?		NULL
ě		e
ng		ŋ
ǐ		i
ǎ		a
st⁶		s i 6/⁵
ǒ		o
ò		o
ǔ		u
ó		o
an+ci		a n ts i
thi+yi		tʰ i j i
śuè		ɕ y e
gǔ+tou_śY		g u t o u
rǔ+fáŋ		r u f a ŋ
zhī+jia		ʈʂ ʅ tɕ i a	
śitou_śY		ʂ ʅ t o u
HF		NULL
a	1076	a	U+0061
_	976	_	U+005f
i	726	i	U+0069
m	475	m	U+006d
u	464	u	U+0075
e	450	e	U+0065
o	439	o	U+006f
³³	425	³³	U+00b3 U+00b3
l	393	l	U+006c
ŋ	337	ŋ	U+014b
⁵⁵	335	⁵⁵	U+2075 U+2075
ə	327	ə	U+0259
k	319	k	U+006b
n	310	n	U+006e
ɨ	305	ɨ	U+0268
ʔ	305	ʔ	U+0294
⁴⁴	289	⁴⁴	U+2074 U+2074
p	267	p	U+0070
¹¹	265	¹¹	U+00b9 U+00b9
t	253	t	U+0074
r	231	r	U+0072
s	214	s	U+0073
kh	198	kʰ	U+006b U+0068
⁵³	165	⁵³	U+2075 U+00b3
b	127	b	U+0062
d	120	d	U+0064
th	115	tʰ	U+0074 U+0068
ɛ	113	ɛ	U+025b
ɔ	109	ɔ	U+0254
c	106	ts	U+0063
ph	100	pʰ	U+0070 U+0068
j	99	j	U+006a
_LR		NULL	
_LF		NULL
²²	92	²²	U+0:/0b2 U+00b2
³¹	91	³¹	U+00b3 U+00b9
¹³	88	¹³	U+00b9 U+00b3
ń	85	nʲ	U+0144
-	84	+	U+002d
v	83	v	U+0076
h	76	h	U+0068
¹	75	¹	U+00b9
g	70	g	U+0067
y	70	y	U+0079
ch	69	tsʰ	U+0063 U+0068
L	68	NULL	U+004c
F	67	NULL	U+0046
ć	60	tsʲ	U+0107
⁴	55	⁴	U+2074
w	53	w	U+0077
ṭ	52	ʈ	U+1e6d
oː	47	oː	U+006f U+02d0
H	44	NULL	U+0048
⁴²	43	⁴²	U+2074 U+00b2
z	39	z	U+007a
³	39	³	U+00b3
aː	34	aː	U+0061 U+02d0
R	33	NULL	U+0052
ćh	33	tsʲʰ	U+0107 U+0068
ã	32	ã ∼	U+00e3
ɣ	31	ɣ	U+0263
ạ	30	a̰	U+1ea1
sh	30	sʰ	U+0073 U+0068
ʒ	24	ʒ	U+0292
š	22	ʃ	U+0161
ś	22	sʲ	U+015b
ṣ	21	ʂ	U+1e63
ź	20	zʲ	U+017a
