ID	Number	Database	Name	Abbreviation	Glottocode	Note
Ergong	103	syc	Ergong	erg		
Horpa	104	syc	Horpa	dao	horp1239	
Shixing	105	syc	Shixing	shi	shix1238	
Namuzi	106	syc	Namuzi	nam	namu1246	
Guiqiong	107	syc	Guiqiong	gui	guiq1238	
Ersu	108	syc	Ersu	ers	ersu1241	
Lusu	109	syc	Lüsu	lus	lisu1250	
Gazhuo	110	syc	Gazhuo	gaz		
Tujia	111	tujia	Tujia	tuj	nort2732	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Anong	112	trun	Anong	ano		
Rawang	113	trun	Rawang	raw	rawa1265	
Dulong	114	trun	Dulong	dul	drun1238	
WrittenTibetan	115	tib	Written Tibetan	wrt	tibe1272	
LhasaTibetan	116	tib	Lhasa Tibetan	lha	tibe1272	
BatangTibetan	117	tib	Batang Tibetan	bat	kham1282	
XiaxeTibetan	118	tib	Xiaxe Tibetan	xia	amdo1237	
AlikeTibetan	119	tib	Alike Tibetan	ali	amdo1237	
Jirel	120	tib	Jirel	jir	jire1238	
Sherpa	121	tib	Sherpa	she	sher1255	Solu-Khumbu Sherpa
CuonaM	122	tib	Cuona-M	cuo		
Milang	123	tani	Milang	mil		
Padam	124	tani	Padam	pad	pada1257	
Shaiyang	125	tani	Shaiyang	sha		
Apatari	126	tani	Apatari	apa	apat1240	
Gallong	127	tani	Gallong	glq		
HillMiri	128	tani	Hill-Miri	hil	nyis1236	
Bokar	129	tani	Bokar	bok	bori1243	
Nishi	130	tani	Nishi	nis	nisi1238	Nisi?
Tagin	131	tani	Tagin	tgq	tagi1241	
UpperBangni	132	tani	Upper-Bangni	uba	bang1338	
